('2829', 'fdea0ce19381d096d9f6fee152813b789eb47bb6', 0.6175528613057751)
('2119', '5ab2c95795a8d49725b31f0600baa30812d9b62b', 0.608120803635753)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.59135356035077)
('2264', 'ce30557f8a1f427084a70d4b6f47794c3405d7a5', 0.5907079088852196)
('2411', '23e68d13cbf2a6cebd9b27a9d991b40d32f7775d', 0.5853544810713311)
('1598', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.5779862718304222)
('2876', '6572e9a20ce754f1c50218ed7f198640581c5f38', 0.5771994202431646)
('1326', '11ff35f4aea5e95b670694411574d2438c5e8d54', 0.5764656258679569)
('2028', '4587054bffd4094cf91a6b668dc744be211c0aef', 0.575667702595774)
('2037', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.5739398145197387)
('2089', 'ee5ec033bae774798f73dd1db4e68566799977f4', 0.5731987153816928)
('2280', 'ba13f107c934b223412ee339a8cc01579577c378', 0.5717863724100949)
('2285', 'efdeb8ed4f97208fc1a23cfc5088844adf0b7852', 0.5658002619031952)
('2876', 'c05255beaafee041e88e8acc5c26734b6b9a0bd2', 0.5615310005510429)
('2378', 'b66ca83cae937fdd78a4e1cc84b6e90d61cdb842', 0.5601162037669177)
('1645', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.553655712188126)
('1314', '64e0794dd3592e797328696ece26f2753dce0a45', 0.5432028037922165)
('2065', '29adf584fb53110f42cfc8bc32d200dc7d3e3f49', 0.5385879431441855)
('471', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.5329261973816247)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.5299044920733516)
('1780', '66f3ffcc67ea0cd1fbef680fb6dabdf0f5e8fdc9', 0.5294356931012141)
('1950', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.5254992815775539)
('2330', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.5247320416253247)
('2327', '84465a0678fa29360dea313a93158729624846b9', 0.5229473256558647)
('2487', 'b6cb1680190407c1b8d6bd7344fbe14985b38f03', 0.5213463841313989)
('2033', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.5156357737741954)
('1799', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.5141064173590131)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.5138329867908271)
('2876', '2830b8d50ae07e9b2d201466b921636ca56cf7fd', 0.5079148439574622)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.5064739073860925)
('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.5051731562097227)
('1598', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.5007925573171178)
('1777', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.49969115921395535)
('1149', 'de9607e69f6d85090afc6c92da4e1e29800bb80d', 0.49752845461536715)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.49731997354452645)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.49473363013992355)
('1925', '9b3981bfd11506573ad7d58d3b76d21f6aa38969', 0.49399120575750627)
('1285', '4e28685e231cfd9d479306fa8a31a2252581cf2c', 0.48832568459268916)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.4833647122655097)
('2288', 'fb8dba752051a0280f4356eb90eea3f1c8e8ed5b', 0.48304836888464403)
('2260', '51ba2f29c29019256579bf052f843bf409190f89', 0.47947276070684514)
