('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.05225045865834894)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.05023997152546344)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.049154885659999176)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.04602593072526811)
('598', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.043956920653890126)
('301', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.043358441894155275)
('598', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.04331354310451233)
('295', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.043163688391674074)
('26', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.04291521177520525)
('598', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.042529440769198894)
('559', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.041689675454011456)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.040789649449026355)
('9', '019f986cc374ef228070f4aeba252f5071362488', 0.039921567370188114)
('301', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.03950058382690877)
('301', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.03908510402801806)
('598', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.038553313766221085)
('598', '019f986cc374ef228070f4aeba252f5071362488', 0.03826846023894271)
('24', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0378363261555111)
('26', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.03670807462260164)
('365', '719070cb5e16fc6667d514cf5e88117b16395755', 0.03356212312394853)
('99', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.03258820482583411)
('1', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.03175649148645742)
('9', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.031733389376617266)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.030048939014547436)
('598', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.029552838701318494)
('26', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.028058513881761848)
('1', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.027916520496429165)
('1', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.027916520496429165)
('9', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.02627154390465025)
('26', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.025812103975406234)
