('1377', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8595085636351508)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8580294621448813)
('1377', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8553304061987904)
('1391', 'eaeb1e3eacf510ced9bf5a048ea8abd91b36982b', 0.8543523499393836)
('949', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.854346026469715)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.8541458388603987)
('769', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8528620899769914)
('1621', '0f570fc083f3e72604eace751114419315908456', 0.8527750118437285)
('2330', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.8507163249833292)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.8463919558185381)
('2114', 'c05f37a46676bdd9260580e5ecf641aeb98bdfb2', 0.844500019958969)
('1391', '67e425c1eede74b5d92b07ef0918cc3cb6542007', 0.842866447241093)
('1689', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8396976156446931)
('1391', '5f8ca5937c469f4d756d5264ee161af421a40880', 0.8386577172938667)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8318638980388974)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.8293557769488773)
('2037', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.8266397735984166)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8243504123387538)
('1845', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.818541843928051)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.8143784282665543)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.8127405702134289)
('1588', '6fbfef62b58f87787a51d670cd0f7824e4ab7cb0', 0.8080265156460387)
('1695', '0f3a3d87c79fef2d702923d858c42e08d51b62c5', 0.8040581722230249)
('1689', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8008048373878044)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.8000622473038713)
('1266', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.7978447757186328)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.7962720525784923)
('769', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.7935598150421164)
('2135', '637ce1627e4943166f274ca30409e193433532a1', 0.7878268251459004)
('2313', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.7835812731465058)
('1591', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7775361468523408)
('1591', '27abec586f27295aabdce986947d17bf8ab8153a', 0.7725719919636787)
('1283', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.772167717116032)
('2114', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.7677740371941072)
('1556', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.767117987303556)
('2658', 'c367131e03e90656ccc7d661defb7a3b31e509ee', 0.7666616701744385)
('2093', 'a18d4122c53824033c3e345a09c4fbabbdcf4300', 0.7653747541845516)
('1391', '26d2087237e677af975231e52d194f0934116831', 0.7653178829132786)
('2114', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.7653068397244023)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.7643099962399889)
('1309', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.763888710253673)
('2093', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.7631877489569118)
('2093', '7393c725c2451d111bb3bec35f8e92ed73d1a8aa', 0.762208353105086)
('1285', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.7603970049720986)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.7588952677873411)
('2267', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7571367496101634)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.7569521373563709)
('1845', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.7563165322772197)
('2262', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7552696758506148)
