('162', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.9216311037728319)
('128', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9181932033444508)
('162', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.913901637024237)
('756', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9138488133330264)
('296', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.911318842575497)
('199', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9096576092835365)
('449', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.9068582707586272)
('507', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.9023704158591882)
('953', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9009550244044063)
('282', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8980523571418857)
('173', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8953312559555651)
('814', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8928186973052946)
('334', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8906728486269013)
('801', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.8882318655219767)
('112', '2202ec451af6f594399e6b0a3927a658e6391232', 0.8879791165354501)
('139', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8857152510784432)
('497', '826a45c1052e846b1250813be74f0382f6a543e3', 0.8805504585953708)
('3', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8791664979376819)
('3', 'ecdd619da78831929d53c27c90f15e193a500998', 0.8786936022286495)
('3', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8782635061108476)
('535', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.877583451191582)
('172', '31ed4efe3af5c4b1f8e0cb42ba9a68c21ec4d0e3', 0.8756093286576014)
('487', 'c3327e567ee3a34104e742f69fdb77d9d89440bc', 0.874935078007942)
('990', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8742696040503752)
('3', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.8722118864460761)
('623', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.87202150955271)
('136', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.8619236314317916)
('507', 'ecdd619da78831929d53c27c90f15e193a500998', 0.8610035133089857)
('507', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8606364371234064)
('709', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.8573312167602598)
('947', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.8569281888100106)
('639', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.8562929013140579)
('507', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.85458684924856)
('507', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8544655945090611)
('13', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.8542321163866358)
('274', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.8530785304813997)
('919', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8514322974983197)
('487', 'd20485027f8880177055e3269ee861ac54b77c06', 0.849763614453359)
('801', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.8481499573998166)
('208', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8470997832423027)
('360', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.8462529023213897)
('709', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8443102035330914)
('3', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8436224503912078)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8422411796848475)
('343', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8419106148824355)
('709', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.8416680750673352)
('947', '38f2f98da3eb53592c0731297cc19ef858353372', 0.8411696400862956)
('10', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.8369782047225407)
('841', '82f8a9fc980dd428eb45c8f66789564632723897', 0.8360458277508837)
('841', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.8358244402155343)
('771', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8357352889161259)
('521', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.832725903867076)
('521', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.8313443604963864)
('162', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.8306742450292005)
('360', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.8305698350069978)
('227', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.8299525970004932)
('709', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.8287065098227568)
('136', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.8271397721961082)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.8271273142160168)
('507', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8265692179138346)
('360', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.8225838585423759)
('553', 'b026c44ea87fd2a392bf3abe59733c9037132910', 0.8184952648900378)
('202', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.817131505681829)
('521', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.8164018734699041)
('553', '1a11153cd28d23e9c9f8fc5c7cdaaf7175e34dad', 0.8110261643381527)
('970', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.8091644652449903)
('259', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.806512830516528)
('360', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.8044543338709751)
('256', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.8030597107688181)
('801', '2202ec451af6f594399e6b0a3927a658e6391232', 0.7931258761072995)
('112', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.7903906477113617)
('3', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.788518640932451)
('291', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.7861351694607707)
('3', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.7854151831113698)
('8', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.7821540623017926)
('2', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.7794794162213396)
('2', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.7782684243698482)
('122', '11467fca2a078a6868473b61a9608ba45e337795', 0.7770088026801424)
('507', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7726299440430247)
('2', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.7715687834583345)
('507', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.7695371539908575)
('5', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.7694686439784791)
('841', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.769426285642029)
('208', 'bc399ba9f9b09e3b98b557f7372b737b79704738', 0.7679515544902599)
('641', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.7678910777787722)
('112', '004f26465ffb8a71c55f108f08edd8798df4f18d', 0.7654837029416609)
('208', '83fee4ffbbc87903f05f297615fee87aac2eaf2a', 0.7641152817263751)
('374', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.7603191956360414)
('768', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.7598919969622925)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.7568983347654947)
('106', 'ff592758cfb0ae93a45df0a0e5baf1a15f747a3a', 0.7555428356115765)
('709', '346d091d003a8b604ae2a462bc88bcabc4a57317', 0.7545114571303978)
('176', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.7503749459887032)
('507', 'b0143520eb7d95f34fdf207262970d750836304b', 0.7478853643709445)
('106', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.7477365276306838)
('208', 'bc7927fe758638afa0af7da3e37a4c6754ce5d85', 0.7469270133848198)
('8', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.7468500288118275)
('536', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.7450373292406977)
('536', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.7440429376467037)
('136', '21ef2e5dd4b1a6de880c432aae1b7172ea7f2397', 0.7407731934987855)
('248', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.7394724936053085)
('208', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.7392345956014446)
('536', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.7381894299993885)
('360', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.736333582213466)
('360', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.734965016301646)
('10', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.7293709839558621)
('536', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.7283321664429844)
('9', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.723853927440499)
('106', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.7235978664451161)
('177', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.7214700036933326)
('280', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.7204079901046422)
('10', '21ef2e5dd4b1a6de880c432aae1b7172ea7f2397', 0.7193174692602212)
('1019', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.7179706787092971)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7163593422437532)
('1028', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.7145023748674854)
('374', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.7124845325829083)
('1001', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.711597057232283)
('374', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.710938076801026)
('483', 'ac773009f8fdcc84a9f44a3fb36f353ab78d682e', 0.7090501402412321)
('854', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7020138714431172)
('280', 'ecdd619da78831929d53c27c90f15e193a500998', 0.7002040993797687)
('280', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.6998171588425149)
('374', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.6997846104382688)
('280', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.6995216761407426)
('8', '2202ec451af6f594399e6b0a3927a658e6391232', 0.6993215035621396)
('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.6987109318981884)
('844', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.6984862188495905)
('536', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.6966464746208433)
('440', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.6926831340124874)
('801', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.6923593312921685)
('3', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.6905719967823225)
('1019', '3d5f13fec8b840f5d913103264db8f7f4c2c1f72', 0.6890921881830022)
('106', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.6879470900800779)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.6856052469533794)
('1069', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.6843757352941555)
('1069', '38f2f98da3eb53592c0731297cc19ef858353372', 0.68435606405414)
('360', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.6839082620798974)
('801', '004f26465ffb8a71c55f108f08edd8798df4f18d', 0.6827248985620923)
('333', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.682196655590844)
('521', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.680712853724903)
