('172', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.19160385610567746)
('481', '019f986cc374ef228070f4aeba252f5071362488', 0.187389779293327)
('254', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.1848170051489508)
('217', '019f986cc374ef228070f4aeba252f5071362488', 0.1843784897957348)
('217', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.17948091793612217)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.1778983100519699)
('99', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.1747609581905017)
('481', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.1743171855481329)
('2', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.16706614370224693)
('172', '719070cb5e16fc6667d514cf5e88117b16395755', 0.1658714663419146)
('99', '019f986cc374ef228070f4aeba252f5071362488', 0.16558984384921707)
('134', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.16479856732597672)
('405', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.16050849746339113)
('172', '019f986cc374ef228070f4aeba252f5071362488', 0.15311665636976493)
('481', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.14868966264897707)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.1425355450791901)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.1425178171153471)
('559', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.14193631779029886)
('579', '719070cb5e16fc6667d514cf5e88117b16395755', 0.14124640570257008)
('134', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.13885993771691663)
('388', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.13788528993278434)
('405', '719070cb5e16fc6667d514cf5e88117b16395755', 0.1359982828895202)
('60', '019f986cc374ef228070f4aeba252f5071362488', 0.13563910578138627)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.13560310489940272)
('118', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.1341839849423979)
('126', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.1333526347840462)
('78', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.12936951770184424)
('78', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.12936951770184424)
('1', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.1270471369810882)
('6', '719070cb5e16fc6667d514cf5e88117b16395755', 0.12624726727134636)
('218', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.1253537215300559)
('388', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.12399480681884989)
('217', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.12286904420010684)
('405', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.12266814776857272)
('7', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.1225481941618451)
('134', '019f986cc374ef228070f4aeba252f5071362488', 0.12209521242051827)
('598', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.12020955982838742)
('405', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.11979546678597977)
('405', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.11978753673377386)
('6', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.11888115780356995)
('6', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.11885549721807248)
('172', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.11538521160730889)
('172', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.11534168533219456)
('579', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.11430776656220487)
('6', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.11319237791533378)
('5', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.11284457152257847)
('172', '1fb9d88b51522797e845afea8c69066767ae1436', 0.1127762340679214)
('579', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.11268338382529682)
('193', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.11213921672712451)
('4', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.11015167968221763)
('60', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.10800853685200255)
('99', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.10792204338910652)
('99', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.10792204338910652)
('579', '15873145252823f57110c8ef0b8bf8964902a098', 0.105422431268142)
('6', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.10541474972111697)
('172', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.1018912977451308)
('6', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.10173567923676484)
('218', '1fb9d88b51522797e845afea8c69066767ae1436', 0.10018421624860638)
('195', '1fb9d88b51522797e845afea8c69066767ae1436', 0.09957769759206535)
