('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.7725259023744155)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.7722534750314405)
('2131', 'c04139e70a360552baae8bbc5e1c741b5aae9010', 0.7702063297858774)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.7697002767184745)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.7667111510177831)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7639636816252695)
('2135', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.7481076405613946)
('1356', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.7375650399934925)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.73353289151754)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7332966334304525)
('1591', '66e773f5a25af1fdfffe7f5ff0edeb0cf4b3dc75', 0.7313085627217026)
('2089', 'ee5ec033bae774798f73dd1db4e68566799977f4', 0.714054180764828)
('2411', '23e68d13cbf2a6cebd9b27a9d991b40d32f7775d', 0.7136460032599092)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.7032120266925603)
('1795', 'a288d1014bf49f5867a9ed579e72db60a66cba9d', 0.703164076732637)
('1455', '99f0096c723e92140e2a425bc88c1afa44efa3db', 0.6986898898055466)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.6954019057531308)
('1925', '9b3981bfd11506573ad7d58d3b76d21f6aa38969', 0.6911686727954952)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.6795378557478834)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.678656746932824)
('2487', 'b6cb1680190407c1b8d6bd7344fbe14985b38f03', 0.6779206918091212)
('1808', 'cdcc4ed07c9975f21a8650fb319403b8dc05df57', 0.6727324502576266)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.6692487511000572)
('2065', '29adf584fb53110f42cfc8bc32d200dc7d3e3f49', 0.6680012997138073)
('1257', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.6675857674658259)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.6648656845330339)
