('507', '01ef15223cafa277ed7f0292ce97781abaf0b73d', 0.81903994153663251)
('213', '38f2f98da3eb53592c0731297cc19ef858353372', 0.81866250931352458)
('483', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.81626700606074809)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.81405914817124592)
('618', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.81228746718082478)
('14', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.81142879793395084)
('618', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.81074177260388836)
('724', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.81002140905647457)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.80433339331574882)
('535', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.80079539421619539)
('115', 'ea889cb0049fd2398ee98bf77d327c2536fc3239', 0.80059556380618135)
('776', 'd624358cb595891bd85d13d43f334978667502d3', 0.79961671120803224)
('139', '75f380252eb964156714585fb7a00b617ddec679', 0.79930870258197506)
('841', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.798525543395876)
('841', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.79622967339968298)
('202', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.79604018420427014)
('663', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.79531851662983166)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.79496879644771945)
('535', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.79455865439328033)
('360', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.79444528829417249)
('663', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.79423626469950515)
('14', '11467fca2a078a6868473b61a9608ba45e337795', 0.79164605805427213)
('850', '75f380252eb964156714585fb7a00b617ddec679', 0.7914981355090811)
('641', '75f380252eb964156714585fb7a00b617ddec679', 0.79140010017613138)
('776', '129051a56e950c84f1cf9673a5e1b6cc3c45538c', 0.7893685685427887)
('639', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.78906122808666102)
('522', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.78854789172748729)
('522', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.78854088118300358)
('695', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.78688981406233982)
('139', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.78682244748295649)
('440', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.78661954265241218)
('841', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.78660835315806477)
('912', '69170f58df0250e43066e4b56e038fced05f2268', 0.78615437248246123)
('115', '7efd067bd52b8f3d01e6f17fb20b16a0d297b6bf', 0.78589722075769664)
('522', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.78572016526746502)
('172', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.78396503048556632)
('1081', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.783447533379943)
('727', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.78344687214805675)
('618', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.7832948663145981)
('126', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.78296424999097269)
('126', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.7829630141861561)
('695', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.78210377387762486)
('5', '69170f58df0250e43066e4b56e038fced05f2268', 0.78204260929954905)
('695', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.78152246630071887)
('126', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.78017187928310694)
('850', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.77930428471160107)
('641', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.77900873784122937)
('210', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.77796766459958333)
('639', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.77722700213599827)
('639', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.77585129349170046)
('280', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.77575758936090367)
('639', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.77489515560110378)
('360', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.77394422853078781)
('139', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.77219578928024502)
('284', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.77167304027406014)
('896', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.77008556945297069)
('360', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.77007517388512436)
('896', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.77006660206855226)
