('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.4452414110002163)
('1002', 'ccd1e52411809a796dccc13fd5b91f3557d9a1e7', 0.4416300885596836)
('709', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.44042918917878465)
('2', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.4394282434773514)
('442', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.43883574683828447)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.4314821725014605)
('112', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.43131908174212125)
('663', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.4280994991444316)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.42805414432139594)
('521', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.42361236307664235)
('1019', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.4227364155847845)
('1019', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.42178837081326825)
('535', '11467fca2a078a6868473b61a9608ba45e337795', 0.42069752943859023)
('274', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.4188785093681575)
('724', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.41854222623282794)
('641', '11467fca2a078a6868473b61a9608ba45e337795', 0.41404309547655743)
('535', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.41167280226426145)
('442', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.4109955373414273)
('942', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.4105154101679695)
('535', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.41030857914748564)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.41008389920111404)
('663', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.4094523010139016)
('274', 'fe38bc16d2c95c4367e23fe06ceb628f20906b8c', 0.4090956518223033)
('1019', 'c3327e567ee3a34104e742f69fdb77d9d89440bc', 0.40474517563041207)
('1019', 'd20485027f8880177055e3269ee861ac54b77c06', 0.3994653486616472)
('639', '283956ee93473192052d30c3420a3ce9685cce28', 0.3974465801750424)
('639', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.3974465801750424)
('440', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.39597827290687515)
('145', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.39587331832740486)
('724', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.3938695358179678)
('639', '5aed505429694130a76115b7a4219b1a36f53346', 0.3921809558343798)
('415', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.3911322717139928)
('231', '1f16310b7d694551f094bed49fb0576effefab3c', 0.391066352752739)
('639', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.39042926977261605)
('187', '2202ec451af6f594399e6b0a3927a658e6391232', 0.3850157980717326)
('618', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.38477319539798355)
('942', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.3846872565068321)
('618', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.3841184771753383)
('618', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.3840807149575158)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.38037162485715587)
('1019', '912a7a12becb51246ae9c55bf16ad4e19a647b85', 0.3803198570128665)
('893', '283956ee93473192052d30c3420a3ce9685cce28', 0.37985366676109084)
('893', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.37985366676109084)
('663', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.3772446088873306)
('171', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.3767464372480847)
('257', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.376557320941194)
('440', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.3764647926998686)
('449', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.37610771739571475)
('442', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.3760276303700783)
('742', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.3756764350650995)
('641', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.37397675125451657)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.37376588224822116)
('274', 'da8bf59d5b342fa3f66b33cd2b81c08cd1608406', 0.37194956997519407)
('849', '20b0b39b14c94e65844b53064308902a127cac56', 0.371724969107921)
