('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.5717102830055253)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.5703271195829535)
('2192', '087c740ce8751b2f95b6cbfb20b992bdf9772347', 0.5689420374313346)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.5678920363712345)
('2041', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.5578932787733752)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.5480178268206599)
('1481', '51a9a616dc346aee6f6932f4eef1feeb14ad006e', 0.5474267772507673)
('949', '637ce1627e4943166f274ca30409e193433532a1', 0.5471740283434092)
('1725', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.5460710953049809)
('1645', '594bb0020fa09d6b8ea236cb9bbbc2b45ac40c9c', 0.5447507133078531)
('2135', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.5429220513489095)
('1131', 'e0a1b49e4b98a378a98936270f0cc308669f1b24', 0.5427284259088432)
('1695', '0f3a3d87c79fef2d702923d858c42e08d51b62c5', 0.5412685204141644)
('1985', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.5409164853093775)
('1645', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.5396649924574435)
('1502', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.5386523218321643)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.5335195400289031)
('2211', '2b1339c633815ec8cbdbaac88244e56fab925d78', 0.5313084470941116)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.5296011870247531)
('2283', 'eb8b901fadb0ace37316dfa1507aa620848f128f', 0.5287598446104702)
('1601', '8a899618a0772b097714579042f58d5c23302b9d', 0.5284331478676417)
('1598', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.5228157135124395)
('1439', 'f982f8579289acf5f01af14694d7a3b23a0e578a', 0.5222750121723914)
('2260', '51ba2f29c29019256579bf052f843bf409190f89', 0.5188891036995394)
('2611', '6c3154e33d5cf50a2504149e63b7051e6d30134b', 0.518727092358323)
('2411', '23e68d13cbf2a6cebd9b27a9d991b40d32f7775d', 0.5123491200216918)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.5107500711047994)
('949', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.5057668766413032)
('1777', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.4985805282348865)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.49734608892848126)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.4968700864776245)
('2065', '29adf584fb53110f42cfc8bc32d200dc7d3e3f49', 0.4930804249218279)
('2000', 'b1dadc709df1e15689f75ad917909b0f5db2ac9d', 0.49105724490573693)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.4900232808541379)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.4871897957684798)
('1314', '64e0794dd3592e797328696ece26f2753dce0a45', 0.48662351789842967)
('2301', '2a4b2e0a9bb60592a4a747e77ccc91fbc593d405', 0.48415635415472374)
('1542', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.48338122678509554)
('1658', 'fde5ab5932044cd48eb1e5f38adc3b8b3b525407', 0.47755373420128905)
('2000', 'e7dd64c11d0ed9dd859f0d75fc9589935891cda1', 0.47631612677568264)
('2545', 'b1dadc709df1e15689f75ad917909b0f5db2ac9d', 0.4757803616601833)
('1780', '66f3ffcc67ea0cd1fbef680fb6dabdf0f5e8fdc9', 0.4708461929735523)
('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.4705782976079192)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.47012455043018875)
('1919', '75526cb351ec9b7a473a912c2bdf522b2bd824b3', 0.468971579755273)
('1689', 'c82d751da5768977da5bb6a47333293e8efaadf8', 0.46872011874757136)
('1678', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.46838761028975784)
('1919', 'd3a4a1a4893d6131e1e69ebba5eef49c45a03d94', 0.4670285413725611)
('1970', 'ff9364cf1211cf012a3e331a0d864aba822f0535', 0.4637242306704425)
('2088', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.46294784728977234)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.46253123873153257)
('1328', '3c81a2813a7648eb720ad833b04a4429c8234450', 0.46132472153531373)
('1931', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.4580361869361257)
('2033', 'f4d331073426d8a42940045f44e24728be7a50d9', 0.45751379952062066)
('1377', '19501d678d2e9a09e19d471b4e54b541f91e907e', 0.4559357304848382)
('1304', '404ad9a6abaf4d49ef5320284e33172a5729ad2a', 0.45479886177123324)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.44749005911007195)
