('850', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.46663906946632405)
('180', '00fb00b094474de98ffcfe7cdb3d4b2682389676', 0.46506233799834706)
('644', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.4642513880233625)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.43591974910191766)
('49', 'fcf6a8fe4ea4f3604644aba9c63914a052c5315c', 0.4350696166103611)
('589', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.4292565604829004)
('155', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.4278375630855787)
('623', 'd23ac3731959ae84adb2333733abaef4f23a0312', 0.426328573359032)
('587', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.4202105178659054)
('586', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.4171647155390598)
('838', 'cd17f62c886cd76a35f38138c31890df80698168', 0.41328864665194215)
('463', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.3901770354286875)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.3657501544833063)
('192', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.3366825423306214)
('592', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.3351451481474816)
('192', '039da3491a462fed46876dfe26135961642db286', 0.3265470274903683)
('590', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.32234683743340037)
('730', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.3158058582061788)
('146', '3a47695428d0463a93124e45c390a708b68b6023', 0.31386028891686996)
('797', '072c177008dc74ddcfab55f7a6d441a5b7d5aa5a', 0.307021673474662)
('510', '6bad467bba438c025bca17a74fe9e9ec6fcdac94', 0.30655296649180264)
('188', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.2848769867160027)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.2817433596891101)
('843', 'a1e727648c19f475788d6bcb62d3b7785e0f66ff', 0.2648037000652401)
('152', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.2562165414856931)
('835', 'cd17f62c886cd76a35f38138c31890df80698168', 0.24938767546015955)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.2233063368903862)
('806', 'c2f906ae6af9f03a7c173701e634f98422be7e0a', 0.21892661367238153)
('557', 'b6367c83304e409a23edc64967585f4f03c4d89b', 0.20522817447054642)
('653', 'f35223312b74743886436770f5172cb25e4e0974', 0.18759024723268988)
('733', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.18145047390208038)
('733', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.17939082332863726)
('591', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.16353653852389965)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.15500272972289728)
('607', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.15441288908149114)
('489', '74ebaa6aac06585fc8865f2cf624fde04fd9231f', 0.15327084851456546)
('333', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.14437139436311838)
('835', 'a1e727648c19f475788d6bcb62d3b7785e0f66ff', 0.1343014570605384)
('224', '84837ae5ba937262834daae41d3be0e04c548537', 0.13017396952125293)
('812', '258c36ae087c1615485201c98ef760f881be1b05', 0.1267271046822397)
('809', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.1259736069516993)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.11349500811198689)
('677', '08fdbfc54380576996fd1079a7082ad81c2f2bba', 0.11093282378857486)
('593', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.10142573948662062)
('783', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.10120819813631239)
('170', '039edba7a157a2fc15bab232de2e3e84eead8b10', 0.08768978116691799)
('236', 'c20c175b1c1da52a8b1f72b7fae380e22af266b8', 0.08141760397693858)
('603', 'b6367c83304e409a23edc64967585f4f03c4d89b', 0.07440490443324128)
('643', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.06523715245839348)
('582', '04390d9b1819025c608de0a67d31919d11159a53', 0.06260535703543883)
('28', '8f1d7662e3d79c11a96db74c46d57072530600a7', 0.06017038496636083)
('727', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.060036776752594105)
('188', '039da3491a462fed46876dfe26135961642db286', 0.051019996849173695)
('215', 'a08919701c38822587529e443e7b7418d3bc0ecc', 0.04634369842265776)
('408', '9dfd3d3c89108f3b3c6a11a85b77842d7e2248a3', 0.044820964875381945)
('703', '0bfc0e16e72303cf2d8550582240345bde436f34', 0.04380647473006731)
('305', '13758588b1f7b23ccb72fe7d241d5036c5ee2e13', 0.04275720654555915)
('633', 'ad9996af3b593e0570e6815ffcee25d284e01aa8', 0.038624986579347584)
('620', 'da73ed7dafeaeb5b29902253f43255637f49d9e3', 0.037833507321584366)
('643', 'f35223312b74743886436770f5172cb25e4e0974', 0.036746309461859646)
('188', '84837ae5ba937262834daae41d3be0e04c548537', 0.027218389756125866)
('188', 'f54046168723638d7887d0a79153782e1a0717a6', 0.027177482624227006)
('643', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.026038965259671337)
('592', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.023697586080554302)
('431', '6825fba1012b81dd421868b98f9d6a48f84c50c1', 0.02211883393901402)
('733', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.01687041527531452)
('225', '84837ae5ba937262834daae41d3be0e04c548537', 0.01580197176693079)
('544', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.015520356511251651)
('697', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.01374601488246698)
('592', 'e59c46dd3683a893187a6a5a5d6de60a9cefbec3', 0.012023327424623474)
('146', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.005383710504595228)
('677', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.00342891913587356)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.0017325396277835482)
('188', 'bb903d36134d2880b670d81f7713227557ce9e54', 0.0016797706202942699)
('769', '9a47f81a1c8e450580b30e7e50e9006172dabbb8', 0.0014217687154789533)
('850', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.0)
('850', 'a1e727648c19f475788d6bcb62d3b7785e0f66ff', 0.0)
('843', 'cd17f62c886cd76a35f38138c31890df80698168', 0.0)
('838', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.0)
('835', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.0)
('835', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.0)
('835', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.0)
('835', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.0)
('830', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.0)
('823', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.0)
('812', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.0)
