('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.81068463419361858)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.80346184285273003)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.79871857946009661)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7983426565112095)
('1919', '75526cb351ec9b7a473a912c2bdf522b2bd824b3', 0.79797500989532255)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.79775537414057496)
('1905', '4b7093dc6a43d107c6032a5f4ae958802d277eda', 0.79567309774379458)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.7953117844504819)
('2089', 'ee5ec033bae774798f73dd1db4e68566799977f4', 0.79206579433485347)
('1925', '9b3981bfd11506573ad7d58d3b76d21f6aa38969', 0.79009726580533579)
('2280', 'ba13f107c934b223412ee339a8cc01579577c378', 0.78944614383705336)
('1985', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.78922520237589289)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.78197427359719407)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.7640825013088427)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.76340317881386233)
('1591', '66e773f5a25af1fdfffe7f5ff0edeb0cf4b3dc75', 0.76216564106109919)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.75228716235902682)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.74865902460854972)
('1715', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.74461108579377133)
('2829', 'fdea0ce19381d096d9f6fee152813b789eb47bb6', 0.74045033303811314)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.73509396637040103)
('2061', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.73386233165835857)
('2411', '23e68d13cbf2a6cebd9b27a9d991b40d32f7775d', 0.73266567432387286)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.73169258733970277)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.72864986357999151)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.72654098495835107)
('2060', '9256b904db2d0ceb6053323f3868cd08ef4cd1f2', 0.72337361771979081)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.72107295022799045)
('2412', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.71343410525174622)
('1798', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.71011216966723822)
('2545', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.71002408532091055)
('2545', '9d5c25e12ec36a8ae3fa4f2cccfd60fb337a7875', 0.70780628131252676)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.70341826862419776)
('1356', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.70168935458938331)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.69239150305810004)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.69238743518264545)
('2033', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.69218712362072188)
('1645', '7322da961ba933bc35e14f2c959f728572988e0f', 0.69110480992966172)
('1645', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.69055790140410345)
('1780', '66f3ffcc67ea0cd1fbef680fb6dabdf0f5e8fdc9', 0.68669524471445198)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.68538671569453402)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.67614958436227957)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.67406105258244287)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.67023269508840866)
('2388', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.66931921862687127)
('2065', '29adf584fb53110f42cfc8bc32d200dc7d3e3f49', 0.66869906060813367)
('1339', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.66553633628871334)
('1502', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.6492995822847113)
('1257', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.64586244231980638)
('1651', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.64354772432935259)
('2378', 'b66ca83cae937fdd78a4e1cc84b6e90d61cdb842', 0.63236550211962494)
('1326', '11ff35f4aea5e95b670694411574d2438c5e8d54', 0.62674987220811362)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.62585869931731308)
('1314', '64e0794dd3592e797328696ece26f2753dce0a45', 0.62360007646008875)
('2264', '91242006f5601b9bb260371f3c69c1246625b008', 0.61558476620802616)
('1598', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.61324161248821463)
('1481', '51a9a616dc346aee6f6932f4eef1feeb14ad006e', 0.60885149506526937)
('1311', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.60599669887250129)
('2088', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.59882127704483523)
('1931', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.59602970592547921)
('195', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.59354849533232401)
('2037', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.59241197057008443)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.59195448733897105)
