('449', 'f689275dab200faf2ec6caca615f9477b6337878', 0.0626372002209953)
('401', '163db1bff3177505d4d588012644783685814cca', 0.062490577105387926)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.06204253458707747)
('399', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.06149302819923608)
('167', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.06122543509263241)
('12', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.060827399278324375)
('167', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.060068835510495064)
('198', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.058744209979986195)
('449', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.057648448770031994)
('235', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.057519732886992025)
('167', '31b156c3f747f752af791b65c4afa71692d320d5', 0.057345592536795595)
('329', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.056210078222611315)
('449', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.05595190138665291)
('329', '31b156c3f747f752af791b65c4afa71692d320d5', 0.05567555722134815)
('54', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.055358781886543786)
('54', '25768640fa98733e021e59af93a75597e6b819b5', 0.054941510256252116)
('71', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.05350407139115888)
('449', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.052119225286790166)
('329', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.051292756899440545)
('167', '0e16be23a4e3434ee32292a006a12accc1096955', 0.05101246583014692)
('40', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.05044683837413716)
('329', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.05015059900607244)
('480', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.05001887760913872)
('449', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.04971436397868546)
('353', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.049274202090053974)
('329', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.04921639366822209)
('329', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.04898154054760867)
('329', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.048620013268337876)
('480', '163db1bff3177505d4d588012644783685814cca', 0.04860807397267553)
('167', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.04704492966592533)
('62', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.04626587011765104)
('449', '65794585337c77575d0805c92cd4f6ead12becd8', 0.04609768089515418)
('329', '25768640fa98733e021e59af93a75597e6b819b5', 0.045801872570256884)
('449', '1200571eca343d402f7fb1831b4c45acbca35438', 0.04559089067111264)
('449', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.044028093364890504)
('285', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.043132642403543316)
('480', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.04224570222307392)
('160', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.04195669592835899)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.04173585462072155)
('399', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.04161641664911593)
('334', '0e16be23a4e3434ee32292a006a12accc1096955', 0.0404506463168367)
('480', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.039797287983504466)
('167', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0397175760342212)
('329', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.03953580357055101)
('127', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.039443100378304584)
('399', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0385595758453125)
('399', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.03846238117650137)
('399', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.036469498584742764)
('61', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.03431248885640006)
('167', '6427790387a4b7809881804f64018123579409da', 0.034291560925680566)
('329', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.03379916266816916)
('54', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.03360538784174358)
