('28', '8f1d7662e3d79c11a96db74c46d57072530600a7', 0.9601879626923869)
('28', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.9521335920425836)
('463', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.9412828911235444)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.9406918430942706)
('291', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.9347496623323209)
('180', 'f35223312b74743886436770f5172cb25e4e0974', 0.9330948563413898)
('291', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.9266183051558757)
('209', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.9249100153062737)
('797', '14a6d9005476cc638116f0ef369bbda15459ff9e', 0.9225002512100008)
('291', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.9205140478470633)
('614', '8f1d7662e3d79c11a96db74c46d57072530600a7', 0.9201750547798502)
('180', '1fd50e66ed3388fb44151983760bc146af993824', 0.9172896666638942)
('209', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.912678513043331)
('708', '14a6d9005476cc638116f0ef369bbda15459ff9e', 0.9118051676715052)
('209', '33e201df962a15263cae4dc7aa58841bda4a1abd', 0.9114547302220563)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.9089453222876335)
('291', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.9066791502220333)
('526', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.9041913073166838)
('723', 'aaa2484bd2c37e6407c32015e393f3f69416172a', 0.9019730935323802)
('669', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.8986540430236806)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.8949466827175909)
('730', 'aaa2484bd2c37e6407c32015e393f3f69416172a', 0.8939263310937254)
('644', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.8920656245829834)
('192', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.8888085325891182)
('730', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.8868788716139626)
('450', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.8863962855747313)
('192', 'b98b053447dcadfd025ab662052b38deddce8daf', 0.8839608166116768)
('192', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.8812834537024058)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.8785071166564641)
('783', '04390d9b1819025c608de0a67d31919d11159a53', 0.8734910665509407)
('783', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.8734800536399582)
('783', '08fdbfc54380576996fd1079a7082ad81c2f2bba', 0.8731710287381398)
('783', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.8728216411305165)
('644', '08fdbfc54380576996fd1079a7082ad81c2f2bba', 0.8702114801443909)
('170', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.8695577030333633)
('644', '04390d9b1819025c608de0a67d31919d11159a53', 0.8661386190915975)
('644', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.8659481615510033)
('753', '14a6d9005476cc638116f0ef369bbda15459ff9e', 0.8625374112146414)
('170', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.8618638821031926)
('723', '4fa26613133fdbfff8dd6ef1a9b089e300c02358', 0.8618272948589257)
('25', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.8593752837964129)
('730', '4fa26613133fdbfff8dd6ef1a9b089e300c02358', 0.8541672919315675)
('27', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.8531601688517864)
('614', 'd48defead77be39250373d03933525ba95899e6a', 0.8519709350192434)
('180', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.8504303241016715)
('607', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.8476641222859829)
('607', '9dfd3d3c89108f3b3c6a11a85b77842d7e2248a3', 0.8476570348469591)
('431', '13758588b1f7b23ccb72fe7d241d5036c5ee2e13', 0.8431772117672098)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.8427886324699976)
('632', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.8423368447369343)
('632', '258c36ae087c1615485201c98ef760f881be1b05', 0.8420800471678066)
('28', 'd48defead77be39250373d03933525ba95899e6a', 0.8409470651912846)
('219', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.8398934816233018)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.836733383544924)
('224', '6a0ef2128fb6115c1fa6942d5cd4626892b62dbe', 0.8346331362745512)
('673', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.834351150543557)
('673', '9dfd3d3c89108f3b3c6a11a85b77842d7e2248a3', 0.834050218964179)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.8339985141161186)
('526', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.8321838862478909)
('644', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.8313352894173152)
('607', 'cd4d08ccce7fed4a7998561b7e926d74ef860ce5', 0.8292226197923187)
('219', '258c36ae087c1615485201c98ef760f881be1b05', 0.8197484849036203)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.8180337216481727)
('554', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.8172983522487505)
('463', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.8170657880369138)
('673', 'cd4d08ccce7fed4a7998561b7e926d74ef860ce5', 0.8164116790189658)
('192', 'ab5668c49ecee661c2bb7612209e7bcbe32c4acb', 0.8153811820883454)
('450', 'ab5668c49ecee661c2bb7612209e7bcbe32c4acb', 0.8142400275100536)
('607', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.8127413548579727)
('554', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.8093056454048774)
('450', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.8049703162890977)
('192', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.8042281741164908)
('554', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.8039069683831218)
('291', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.8037575075174288)
