('2182', 'f046543d725d15ea0744286dad9b10440b43922f', 0.6892392930130896)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.6867873244560803)
('2222', 'fd872b99440b6484a16338400e56a470009325a8', 0.6840181295690292)
('1695', '9d73b9e155f2372ba18987b2fb7239988e00351e', 0.6832720730472969)
('1645', '7322da961ba933bc35e14f2c959f728572988e0f', 0.6832641916145183)
('1645', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.682661829098245)
('1542', '28ac36700313aecde40522e468d53b9b4de3a984', 0.6823772183457453)
('1304', '404ad9a6abaf4d49ef5320284e33172a5729ad2a', 0.6784448569699738)
('2088', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.6761932167918101)
('1695', '4e00ace631c06215629f7fdc1fe324502a119530', 0.673885017650176)
('394', 'f1930d284e9fe55695c9e5c7919cc1819e603945', 0.6736598126414849)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.6708879258164555)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.6681839383628375)
('195', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.6677279304474919)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.6676079903744884)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.666914356536521)
('1439', 'f982f8579289acf5f01af14694d7a3b23a0e578a', 0.6599684427321493)
('2060', '9256b904db2d0ceb6053323f3868cd08ef4cd1f2', 0.6563203469865099)
('2061', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.6543039976633346)
('1359', 'b40dda40252e82067f540cd9eb220e8f3d80a301', 0.6541437032394877)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.6541321599934439)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.6540935433004704)
('2271', '729e203df97e1b228d75ce300d03ee82281d4569', 0.6517836662481603)
('2388', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.6510825992584385)
('1542', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.6504318858181004)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.6502998414744354)
('1572', '65d4f1ff52ffa003736bb05328b51c1b1385a71e', 0.6496961790697272)
('1572', '6e59f87c9b7b999f7bffe1c850046eec59d5f39e', 0.6493947750448148)
('1329', 'e2835fdc6943bcf0a95af8d8f9e23feb81a747d9', 0.6480446233643092)
('1455', '99f0096c723e92140e2a425bc88c1afa44efa3db', 0.64431866743648)
('1695', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.643378631032328)
('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.6377874483667118)
('1688', 'f006fbecb8f95ac773594d52ff8b59a2709c6a16', 0.6377013760635575)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.6365288992285578)
('1396', '9ca288e3d868538bf4403e5409da19a26fcdeaaf', 0.6275943398457653)
('1420', '2a64573d5d326313e2cf77dc3e0c18d745cd115f', 0.6238649015587013)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.6189548748622521)
('2034', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.6181150317411369)
('1919', '75526cb351ec9b7a473a912c2bdf522b2bd824b3', 0.6150403215913138)
('1396', 'd847599e530d7d170d86f6ad60ffbd9ffc3b894a', 0.6145751478299648)
('2658', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.6120406641506885)
('1396', 'e8799e61b1b608f29be5554bc5bc3697dbd12cc3', 0.6113181565063311)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.6109646608097931)
('1311', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.6098341062802907)
('2611', '6c3154e33d5cf50a2504149e63b7051e6d30134b', 0.6078843590443479)
('2545', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.6072541983281953)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.6036035940225922)
('1536', 'd0450a23a432be87b3945d4b613d80fb7124e7eb', 0.6006127215508656)
('2135', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.5924794737039955)
('1808', 'cdcc4ed07c9975f21a8650fb319403b8dc05df57', 0.5895190702416384)
('1651', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.5892282046167225)
('989', '0d4e591f680453ae00e47e8c3d2c6b05d7b54062', 0.5876027345377905)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.586348691076189)
('1970', '80d3e9824186e258b19f637e9aa8d51c4966e979', 0.5846083704908437)
('2338', 'dfbf03f72ec5c90cf8ea1d7e0161cc37281ed456', 0.5836814684441524)
('1174', '18ce4e0b39f08d64d9a24347102796998bb90820', 0.5831787753780028)
('756', 'c01c49bfd8ae335e6a3c86ad4c5942a918b4db91', 0.5821068768593034)
('756', 'f2e2146adbd9d424e8ee566528929478e9037a7f', 0.5821068768593034)
('1982', '1344276be615532901a0c9249273685d2ae3c7eb', 0.5808572832717058)
('2211', '2b1339c633815ec8cbdbaac88244e56fab925d78', 0.5780610071873273)
('1922', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.5730775253856008)
('1396', '1df9973773a84e9244c9a4284ecb6d2dd6b6dacf', 0.5718096041013999)
('2192', '087c740ce8751b2f95b6cbfb20b992bdf9772347', 0.5709619558047425)
('2135', 'eb11985876c0ea95fe3961f4b3b8a92e0b041db0', 0.5694254595003615)
('2053', 'dd8a2c4224a356b1387923bc96a9af643248adb7', 0.5650993468772149)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.564082623908345)
('756', '78459d3cd381ecfc6f0527c760676c171c849fb1', 0.561618428435104)
('1919', 'd3a4a1a4893d6131e1e69ebba5eef49c45a03d94', 0.5605545932794648)
('1645', '594bb0020fa09d6b8ea236cb9bbbc2b45ac40c9c', 0.5602768150760294)
('756', 'f1930d284e9fe55695c9e5c7919cc1819e603945', 0.5571003951900568)
('1645', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.5555988903209651)
('1448', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.5552177753431262)
('2283', 'eb8b901fadb0ace37316dfa1507aa620848f128f', 0.5534654570575299)
('964', '370604fd82446fbe8205c6e063aa4f128febc9e1', 0.5533344461055855)
('1396', 'd66fcf737ea2d757611731275a4fc0c248d1c592', 0.5489338677935375)
('1542', '5f8ca5937c469f4d756d5264ee161af421a40880', 0.5478798918405626)
('2053', 'a95d2c2e1df48616d5844021cfc576b304b07f80', 0.5478586745071934)
('1377', '3902b8c30a7af4e20c5d6ebd65e3f1798c4f5cae', 0.546169926367269)
('1658', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.5450049345926999)
('1502', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.5433986364982504)
('1780', '66f3ffcc67ea0cd1fbef680fb6dabdf0f5e8fdc9', 0.541488610117097)
('1266', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.5398227883215154)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.5392535734467817)
('2378', 'b66ca83cae937fdd78a4e1cc84b6e90d61cdb842', 0.5321294132446088)
('2388', 'b5386ce9d0f84ff0624180edc6aab896ee8cbb4b', 0.5310233910406025)
('2310', '0604a3c71b790d804eda9956bae0851ed149620a', 0.5295395538225509)
('1396', 'd239160fb6136600cdbf025eb5d3b2a29c1d8647', 0.5292867706709871)
('92', 'f029b3aabb56fa9ee90de66c9262ae0b7c86eee1', 0.5268826825684354)
('1542', '1ff5f52b268c6700fea22ce4edfa53cd5928cbf5', 0.5265847223797296)
('2000', 'b1dadc709df1e15689f75ad917909b0f5db2ac9d', 0.5265781542466758)
('1377', 'b84e7b946a45ec2e2b8f926e3a498df5eb69eea0', 0.5263513245064679)
('162', '7de7072d09fea20047bb549afceebe7641d912fb', 0.5241753828301166)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.52227981133315)
('1931', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.5218810124883354)
('1658', 'fde5ab5932044cd48eb1e5f38adc3b8b3b525407', 0.5211249621145481)
('756', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.521116033110844)
('1717', '47ae7d32679994b5eb4b78ac3df9dc4eb8321abd', 0.5210876543287415)
('2089', 'ee5ec033bae774798f73dd1db4e68566799977f4', 0.5198674751375948)
('2390', 'b5386ce9d0f84ff0624180edc6aab896ee8cbb4b', 0.5167537289182204)
('2167', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.5134191579052115)
('1396', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.5096492908468002)
('1170', 'df7517007d5d922ea38e318f38e31ad147539034', 0.5085985747515885)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.5053900526772463)
('2082', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.5042137711000331)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.5032605144010557)
('1299', 'b08480b88f4fe8bb52baba99583f9943ef87af0a', 0.5030265601376888)
('1377', '19501d678d2e9a09e19d471b4e54b541f91e907e', 0.5008622561298373)
('2000', 'a524882bd87c9e298f270aac22f57c219b252e85', 0.49964146171990587)
('2053', '9bd0b1456d091478113d5a122d50060d8518c968', 0.49859846008827907)
('2023', 'f2e2146adbd9d424e8ee566528929478e9037a7f', 0.4969893198297248)
('1853', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.49618056379102116)
