('2500', 'a75f68e193bc45b2451d95bd84fcf3bf04651041', 0.7763447930386737)
('783', '5147c46ade6bf649b43a79f54bd2b5751b4c52e3', 0.7757111592041002)
('1705', 'ed57e419c484ef01726ebec93cebde538e45103f', 0.7753819455891792)
('769', 'f45e3203f9c3ce72f1ea265680e0efd47b701f9b', 0.7724772701117507)
('1542', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.7724028389012234)
('2093', '95363d0085aa674c800a93aa828db81107ec69a0', 0.7723066075384539)
('1396', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.7719600448344796)
('769', 'b7214015a239d0b80604d61d5bb689bb5b4d116d', 0.7641628009716129)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.7627763581457637)
('769', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7626922483526433)
('1542', '0f823b677f310f697d70df71bb82ab8ecd6d2769', 0.7618858321931432)
('769', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.7613125681092215)
('2658', '011a4a0e2ca023330f93d87a54c514fd1a078e1b', 0.7611736577777013)
('2009', '2d6ea54f95a6ca83f27254d7a33325b9ad7abcd0', 0.7596755848579964)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.7564214544966847)
('1377', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.7480758066963821)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7467144735503605)
('2611', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.7462056249250134)
('1611', '23179b0e5cd33a6758d52425751f0350e94ac5d7', 0.7461087577188216)
('1396', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.7452488944342646)
('2309', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.742967362636982)
('1717', '7f9023feaef35d9cf23d3402098dfca6a2bb5ae0', 0.742541201946726)
('1170', 'df7517007d5d922ea38e318f38e31ad147539034', 0.7405636145079685)
('1270', '454b60938cc6d14c2b26c90723bb71d77632e0be', 0.740153141358368)
('1717', 'e51804b77fc58de1182222c06d931f14ccf48d6c', 0.7397933192349694)
('1695', 'f1eb24a1dee85eb5c5b3471760928d57e79ac89b', 0.7394888630467629)
('1396', 'fc96c0c424be484b56b369a361603f87b5fd1cdf', 0.7374760230858947)
('769', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.7353692113786718)
('1356', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.7343431104988234)
('1542', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.7341247536870701)
('1377', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.7338882183863372)
('1542', '1ff5f52b268c6700fea22ce4edfa53cd5928cbf5', 0.7317329086174154)
('1591', 'f9690afba0a58f4b624514660efdbfed6c5ba60b', 0.7316961194910526)
('2034', '8f44fb09b48e57b9861352d70e2268c1f28be11a', 0.7315474974843311)
('769', '637ce1627e4943166f274ca30409e193433532a1', 0.7312125941546248)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.7291430159690562)
('769', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.7290390775559611)
('769', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.7284170866965913)
('1799', 'ca13e8ff5a78c83f953fa8fb320c56be223219e1', 0.7281702552861602)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.7278015434003078)
('1396', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.7245443406708791)
('2000', 'b1dadc709df1e15689f75ad917909b0f5db2ac9d', 0.724271933049314)
('769', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.7214265737622213)
('1396', '6ac76acdfe73b3fc10987da67c70c3b75c8cfad1', 0.7201834315034066)
('769', 'd3a4a1a4893d6131e1e69ebba5eef49c45a03d94', 0.719871038967066)
('1396', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.7195983428646435)
('2611', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.718131378550904)
('769', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.7144606393248557)
('2611', '15f3fb0669fd18fc95db810be5c8c6245f5e9339', 0.7140437663430556)
('2611', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.7139258484250998)
('2611', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.7136579161519481)
('1717', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.7133138374447583)
('1611', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.7095786774918292)
('1377', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7093172920953692)
('192', '473ac28b3cd471a2f8cf7ed20eac41d8e7aa0ceb', 0.709134170164306)
