('818', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.9091458136709272)
('890', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.9062719655790729)
('360', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.9003374295015497)
('172', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.8987593970647321)
('1046', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8979918544123066)
('1059', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.8976878267557088)
('942', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8958003791820429)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8957985594753283)
('942', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.8957956774853083)
('172', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.8953183406792043)
('890', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.8948165612907426)
('1059', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.8909772265829763)
('1059', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.890976524442692)
('442', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.8895761223719308)
('618', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.8893728811632866)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.8881850830663576)
('1059', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8881276809122636)
('942', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8852884589254124)
('639', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.8798962535363427)
('618', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.878183179839491)
('639', '346d091d003a8b604ae2a462bc88bcabc4a57317', 0.8767979528310563)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.8690980981937987)
('442', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.86610569880933)
('126', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.8659979889140292)
('483', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.8622283196744666)
('483', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.8614217814901569)
('1059', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8612561241802642)
('210', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8591615105683433)
('1059', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.858060695404334)
('483', '69170f58df0250e43066e4b56e038fced05f2268', 0.8558597736371802)
('126', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.8551209144780721)
('128', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8527787538132988)
('210', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.8490140571129232)
('128', '2202ec451af6f594399e6b0a3927a658e6391232', 0.8471610839727399)
