('124', '3c59441415c47a8671cd6916c2953637978e6b17', 0.5341338695093156)
('608', '33b7d9dd1c88b6eaa7e1923477b1097a99a157f2', 0.5338666243129152)
('356', '1f6bac2ab21ca44f1fec0d73008239165704c428', 0.5234025581764168)
('1091', '5567ab40129d949001dd32f853d800ad944b3632', 0.5218971601301878)
('640', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.5169363431657135)
('470', '366267ff5b37e434d798e0bd497a23e1a4392064', 0.515286351940332)
('1031', 'a7be52d4aa5698d445be2baadc4ce5ec907d28d8', 0.5088232573632094)
('1143', '4fce52a31334f6c2ce289b8c267b25d469024f1e', 0.5050415203630313)
('778', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.5045811106604525)
('132', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.5015843030958749)
('135', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.49931573695400455)
('639', '7a5dca48ae837e143110c66a37a1f6a5bfa12e9a', 0.4991130550121464)
('778', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.49874567566653105)
('255', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.4975902762117375)
('608', '91b3e4ee600c03a02b25245189cb3e0689384104', 0.49367590557652313)
('121', 'a621ebdf9dce5cf2637a14701fd8f9a6684ed83f', 0.49288339513339374)
('257', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.48835246226733003)
('857', 'e72299f4d7e529bea2965d59f3ff5c1f308d6e0c', 0.47409804079714973)
('257', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.4722961095420889)
('601', '456543d411d9fa8678ab10e3ea8d01bb6f9e7f24', 0.4705228342119298)
('1091', '97ef338fac61f4d82248ec3fc9d625f95057932c', 0.46359737636985626)
('125', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.4632613243660242)
('1006', '4e7f60410c314a9e95d40e8466d0ff5e5ecb2c8f', 0.4626691585919815)
('121', '67a33cc782e983e4bdf4a1b9f8ec6dda7988ceaf', 0.4596883860462211)
('611', '8b1fb379bbf823c883cf7b6d29778eb061b708bc', 0.45434789451441937)
('1340', 'd2fb7801ab3c725ab01bbf38ebd5f2938841cd32', 0.45402842529017867)
('257', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.4450511962102878)
('196', '64e43528ca65cf7e1b5fd27831cc5c82ea9e3514', 0.444126452225134)
('532', 'ad6d855e0dc8073c04da02b045bbe85069f008f3', 0.44363856231534876)
('1352', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.442726795726178)
('230', '677a52d886127f74ae15ff496b08cc5c5c1da094', 0.442502620484485)
('135', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.43907458849588227)
('1134', '336113094d332b6840298a86099d0df617c82756', 0.43828246493568246)
('196', 'a621ebdf9dce5cf2637a14701fd8f9a6684ed83f', 0.43756802371735376)
('977', '403cdf13a1490019d9c426bd72189ff9a0833d7e', 0.43749064048071606)
('132', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.43538802289502204)
('1249', 'cae92394b0f801c4baf66ea7785579780239f922', 0.43394247879385195)
('470', '7a1f09b3284880858894486fc5f2506ff4b23f52', 0.43376000062183134)
('134', '40ab048af08764a8df2745094856065045eb1cc4', 0.43152675701777643)
('370', '8000e6d96ce2d2a5f5ed79c01d4e454fe446220e', 0.4313110462383978)
('631', 'c9bb2201d1667308ec577a6f7a45949a02e3d8f5', 0.4246340525344128)
('935', '06f403d58d66707db1e34f193f74be1bf7be84b4', 0.4222056118095382)
('1058', '362855c03e87b8ad68205e8fcf58584a78d0b293', 0.42210097828936405)
('125', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.4216875500048966)
('777', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.4204165858782313)
('346', '6780130321429a1c366d9dbd35c71e8a50582583', 0.4201995491480301)
('596', 'deed00ede80eb8a9c95b8c84111e33cdd813ee48', 0.4192815867437178)
('125', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.41798720773932724)
('532', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.41740173202471903)
('1340', '69ed63d719ce093a27ff4352c4a207a5c43fe845', 0.41398114996931096)
('132', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.41186972656237103)
('132', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.4105805480817634)
('318', '62f931773c30534b47b7e49a65cff9c2c8153fc0', 0.41030604646777663)
('134', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.40882097747939006)
('132', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.4077002717798733)
('1361', 'cf3acb5ffd27211eb894ba0abf9aaa117d4966c9', 0.4073114939529341)
('135', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.4059390677207485)
('532', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.40446762006827736)
('1044', 'b886c9def4e6b61ed5f0921dc9f8d448cba03172', 0.40218917472251264)
('135', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.3994028232250957)
('1044', '7465a4346536da986cc3f933f6308796a4181216', 0.39918528090565464)
('135', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.3955131628772952)
('1455', 'a0d2c4e71ac3d41af32cf17edf7d64b0432111d6', 0.3939040209192325)
