('449', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.1344611708629793)
('449', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.1323181596321954)
('480', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.13216942260033332)
('449', '1200571eca343d402f7fb1831b4c45acbca35438', 0.12611270252136045)
('56', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.1253265063703461)
('373', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.12468183452672968)
('198', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.1213063408817499)
('353', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.11944129684380776)
('449', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.11378935881633463)
('235', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.10978137854969511)
('401', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.10882288616029241)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.10809235514263732)
('334', '65794585337c77575d0805c92cd4f6ead12becd8', 0.1058487666697216)
('449', '25d28081c7c9f06b37702740a216a9181e730745', 0.10569637086245412)
('62', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.10510140106471676)
('449', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.10411929154812617)
('480', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.1024817107443479)
('399', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.10188738831138003)
('61', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.10039162991422018)
('217', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.10015261935952283)
('449', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.09892911168530098)
('480', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.09885023578951609)
('177', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.09860005558937836)
('399', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.09843300043369965)
('334', '0e16be23a4e3434ee32292a006a12accc1096955', 0.09736689520082231)
('353', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.09701942446390167)
('353', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.09595166791003396)
('329', '1200571eca343d402f7fb1831b4c45acbca35438', 0.09575832453611248)
('71', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.09407653192850987)
('258', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.09248701203505982)
('449', '163db1bff3177505d4d588012644783685814cca', 0.091955525921052)
('83', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.08877320111961795)
('167', '0e16be23a4e3434ee32292a006a12accc1096955', 0.08801764375196172)
('329', '0e16be23a4e3434ee32292a006a12accc1096955', 0.08767473996230896)
('399', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.08689713413926096)
('62', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.08671047310497076)
('399', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.08611479101377847)
('353', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.08529992082245763)
('449', '0e16be23a4e3434ee32292a006a12accc1096955', 0.08412224459492716)
('198', '25d28081c7c9f06b37702740a216a9181e730745', 0.0825928885862589)
('399', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.08250871970099098)
('167', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.08246105995047517)
('17', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.08234717358906447)
('480', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.08088837344510473)
('329', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.07883546986358514)
('61', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.07782305668124283)
('329', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.07719916984435066)
('449', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.07673187534162636)
('480', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.07604420903367748)
('480', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.07593765876327284)
('449', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0758171224708766)
('329', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0749092027000069)
('215', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0747505785790771)
('353', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0742522915177646)
('329', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.07408449763939443)
('449', '31b156c3f747f752af791b65c4afa71692d320d5', 0.07337470498070314)
('27', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.07314398549455829)
('167', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.07298661374884291)
('40', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.07295564821264963)
('56', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.07088389557684356)
('329', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.07078666346211292)
('449', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.0700716766747185)
('480', '163db1bff3177505d4d588012644783685814cca', 0.0699036740495074)
('480', '0e16be23a4e3434ee32292a006a12accc1096955', 0.069387392057403)
('198', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.06861794949165331)
('234', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.06829429025360062)
('329', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.06622903371357426)
('329', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.06552476376692846)
('399', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.06540668292534918)
('235', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.06494094925616403)
('141', '25d28081c7c9f06b37702740a216a9181e730745', 0.06409786937409151)
('53', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.06397472316642897)
('167', '6427790387a4b7809881804f64018123579409da', 0.06323244925039762)
('449', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.06238060726814722)
('399', '163db1bff3177505d4d588012644783685814cca', 0.061932078455156116)
('71', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.061530487699331414)
('352', '0e16be23a4e3434ee32292a006a12accc1096955', 0.06093421002907401)
('480', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.05969129088755566)
('329', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0595317983902255)
('480', '4f61bb0b62419f485adb942c398df18e2c276448', 0.059364917929708924)
('285', '4f61bb0b62419f485adb942c398df18e2c276448', 0.05889550700559608)
('329', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.05856009281315775)
('167', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.05841552146987218)
('177', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.05740322854288909)
('480', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.056995586910366755)
('399', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.05641062246273321)
('329', '25768640fa98733e021e59af93a75597e6b819b5', 0.055898241245535)
('353', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.05326427457790346)
('449', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.05225154348460832)
('17', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.05157146362778562)
('449', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.05151042104457075)
('329', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.05083395793497708)
('167', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.05080690176273976)
('54', '1200571eca343d402f7fb1831b4c45acbca35438', 0.05078892078296322)
('352', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.05072063830641252)
('480', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.04967402712839461)
('480', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.049516914597708885)
('234', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.04906529827838278)
('12', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.048599924100720386)
('451', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.04857437281298793)
('62', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.048467676990207174)
('353', '31b156c3f747f752af791b65c4afa71692d320d5', 0.04836651715455423)
('329', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.047975002933222155)
('353', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.04732703589359722)
('449', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.046854423991806164)
('167', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.04618901893609025)
('167', '31b156c3f747f752af791b65c4afa71692d320d5', 0.04587591875452638)
('399', '4f61bb0b62419f485adb942c398df18e2c276448', 0.04540141198311055)
('62', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.04514746162228253)
('235', '31b156c3f747f752af791b65c4afa71692d320d5', 0.04490876635118408)
('352', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.04483932853100283)
('141', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.04430284973116913)
('399', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.04422734334017181)
