('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.8210761725829666)
('2015', 'd847599e530d7d170d86f6ad60ffbd9ffc3b894a', 0.8162266602624759)
('1259', 'f8987afaec6e09d6e0e1474c58fdf7c11378096f', 0.8130501990727848)
('949', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.812511130972572)
('1695', 'e98fba644d8584a5d40a07ec243411d1a1d1942b', 0.8120277799184951)
('649', 'cf255418cf17d29bc2aea7246f0a1380181ffbc1', 0.8112180042231747)
('949', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.809791915415184)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.809126503003147)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.8080629199856441)
('1717', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8077302355970342)
('2183', '7ced41022881aa4796ab4779b98d82b89a022300', 0.8051025642551388)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.8037737588414997)
('949', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8031800147781696)
('2051', 'a95d2c2e1df48616d5844021cfc576b304b07f80', 0.8022335401144598)
('2723', '40ad7f9dc3b0d012991253c3d65f695c7de6c2d8', 0.7993735116634748)
('1542', '552e090d11c2cbce1633a06f17ab8a01c7c4bd9b', 0.7983298197411376)
('769', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7937167031563882)
('2545', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.7927348170934089)
('1542', '4a273c6fe4a2e4b4e16f513c374da6fca9ac09ba', 0.7925743216063313)
('1542', 'e3d11f03b7fdb67c46e51b4e40a968221deb6485', 0.7922759047532301)
('1542', 'b84e7b946a45ec2e2b8f926e3a498df5eb69eea0', 0.7919101206218743)
('1309', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.7898892667726706)
('1542', '3ea9c0c8ba343f19ba54525323768f4c648fe2a2', 0.7885470686220626)
('1717', '063ca30b4153ca10bdbb60d0cb64856bd97efd70', 0.7885089475658126)
('2433', 'f45e3203f9c3ce72f1ea265680e0efd47b701f9b', 0.7868958166205655)
('769', '51ba2f29c29019256579bf052f843bf409190f89', 0.7864703454650234)
('2183', 'b27a88821b72b10df005b3073dc039a68a3d4c4d', 0.7862601759206546)
('949', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.7858890012833266)
('2183', '2a4b2e0a9bb60592a4a747e77ccc91fbc593d405', 0.7843430068237829)
('949', 'fc96c0c424be484b56b369a361603f87b5fd1cdf', 0.7842367097674857)
('1542', '1ff5f52b268c6700fea22ce4edfa53cd5928cbf5', 0.7842081002642322)
('2182', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7826565031294698)
('949', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.7822233776060683)
