('559', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.03677323236347099)
('598', '1fb9d88b51522797e845afea8c69066767ae1436', 0.03673044812205683)
('559', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.0361304545289068)
('26', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.032746395740381046)
('301', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.03246025244863991)
('172', '15873145252823f57110c8ef0b8bf8964902a098', 0.03197120375601194)
('598', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.031828853720946126)
('405', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.03155481378631251)
('598', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.03125565137900973)
('26', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.030633837817607555)
('9', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.02686297308180744)
('26', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.02499403495425959)
('9', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.024793133310859222)
('559', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.02475538231966957)
('7', '1fb9d88b51522797e845afea8c69066767ae1436', 0.02170369670624425)
('1', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.021528874866893383)
('1', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.021528874866893383)
('1', '1fb9d88b51522797e845afea8c69066767ae1436', 0.021274725075943367)
('365', '719070cb5e16fc6667d514cf5e88117b16395755', 0.020561839752308134)
('1', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.02056103991129676)
('1', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.02015759762173683)
('9', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0198419584573894)
('559', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.018582767006114775)
('9', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.01825132082842172)
('1', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.017932325306538523)
('9', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.0175366579198659)
('9', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.016887824244076508)
('134', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.016076792671160543)
('9', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.015942947384201683)
('9', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.015805143393640194)
('598', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.01566440603824094)
('9', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.015655430219008983)
('598', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.015400013667015773)
('598', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.015400013667015773)
('139', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.014940861178166351)
('559', '019f986cc374ef228070f4aeba252f5071362488', 0.013267140614451438)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.013252913858807534)
('598', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.013224296737483066)
('9', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.012525983036574064)
('9', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.012523458673643587)
('559', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.012512971364556704)
('9', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.012378197306710383)
('9', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.011268810700904167)
('9', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.011268810700904167)
('26', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.011209422942467953)
('598', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.010976393528708326)
