('26', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0007999029179334631)
('26', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.0007290236570511476)
('26', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0005981822125183806)
('301', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0005248688524688965)
('7', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0003985084614012103)
('26', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.00016145844338276636)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 5.543809004924152e-05)
('559', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 4.353108817884382e-05)
('598', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.0)
('598', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.0)
('598', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.0)
('598', '7daa15757ff7119e82506e6e980856859035a8ad', 0.0)
('598', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0)
('598', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0)
('598', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0)
('598', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('598', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0)
('598', '12658fb9b9026355153802d80db988bdcce34b74', 0.0)
('598', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.0)
('598', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.0)
('598', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('598', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('598', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0)
('598', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.0)
('598', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0)
('598', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0)
('598', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('598', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0)
('598', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0)
('598', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0)
('598', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0)
