('949', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8950324369669254)
('1448', '2349e71de8414ba12421791cd702447333af58c5', 0.8938104099588723)
('1813', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.8928429972447417)
('2545', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8877098624928421)
('769', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8876537338469227)
('2658', 'c49d85bb5894bbdb4f86c461dfa4f82b1bf93e7a', 0.8835044474793965)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8806019305801764)
('2346', 'a69b5ddcbcab40c4de6b683a4e68feca873fa9e4', 0.8782748212695827)
('2545', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.8721207636421202)
('649', 'cf255418cf17d29bc2aea7246f0a1380181ffbc1', 0.8701206788634471)
('2545', 'fd872b99440b6484a16338400e56a470009325a8', 0.8683612097689809)
('2061', 'c01c49bfd8ae335e6a3c86ad4c5942a918b4db91', 0.8679939380980234)
('949', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8608930065125451)
('1598', 'a18e8b3a4a095ccb7c02dec0f93510a2bc4a3f27', 0.8597305024454676)
('1922', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.858167148989771)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.858090510067698)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.8554181439092954)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.853984594307572)
('1537', '4367c84d310a76323e9f20b54cb98b42f493beb7', 0.8530697317792586)
('1832', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.8511688645167843)
('2658', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.8489488675367046)
('1285', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8457600773797053)
('1760', 'fd3da2613d65b6c9140d165c9f281cb86f9cdb97', 0.8444961253092939)
('769', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8430743950766929)
('2309', '011a4a0e2ca023330f93d87a54c514fd1a078e1b', 0.8385646627184525)
('2545', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8379246644123355)
('1540', 'e5b92293b2f8fdd2f860917c2c5d4481af4f8b62', 0.8373027381506332)
