('41', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.08534187217507298)
('73', '1d10a392f8e403e49c4551a58edda7967ef3e6f3', 0.08513465405329866)
('35', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.07650781206489275)
('40', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.0764794679891929)
('73', '314257056225969156647c71e1be58307e660206', 0.07454844362384958)
('56', '314257056225969156647c71e1be58307e660206', 0.07449698668488983)
('41', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.07131296503508573)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.06053223691492695)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.044817932802228636)
('73', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.03133854805472947)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.031232730526823464)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.02282289347490213)
('30', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.011582421683068084)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.005278443882403188)
('73', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.0)
('73', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('73', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('73', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.0)
('73', 'f814c6ae28e56ad23002f44f419e99074c111c52', 0.0)
('73', '026bfff2cb95efeee04a37e97683a9f366a24146', 0.0)
('73', 'eceaa0e70458b55bee7608d1b80dbf50f5cbf54c', 0.0)
('73', 'd8e9cfacec7d0384862714c01c235fbf1c9187af', 0.0)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', 'c07664dbf59eddf509d2a67ddee4517f79887110', 0.0)
('73', '77ed35bcae65ef83ed0760b6bc918b7b82e2f237', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('73', '6e8695c466bb1be388ce9a6908035f22a2cb21a8', 0.0)
('73', 'f72e20690364c439618211610f34fe94050311a8', 0.0)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.0)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 0.0)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.0)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('54', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('52', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('52', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0)
('51', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('51', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('51', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('51', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0)
('50', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('50', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('40', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0)
('40', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('39', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('39', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('38', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('37', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('36', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.0)
('30', '314257056225969156647c71e1be58307e660206', 0.0)
('30', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('30', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('30', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0)
('30', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.0)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('30', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0)
('30', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.0)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.0)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.0)
