('134', '40ab048af08764a8df2745094856065045eb1cc4', 0.29572782207311227)
('257', 'a4e1e95132ca08f1b131e08797f030dc183da8ab', 0.2955259692267887)
('230', '14cd565e8ffd3c1edc4909c9cba29e135f9d92b5', 0.2920193913842353)
('132', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.29033423572825795)
('135', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.2888911705759542)
('132', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2877859703636425)
('470', '47956ce6ca7261a97b0c00bb65b4d1b74c582477', 0.2872475220241795)
('134', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2860995189278422)
('257', 'd621939d7436307405771c19c854914f1a5557fa', 0.28407263915210096)
('688', 'a8f244518c50de0f87eb843ea04d57469c7f4f5a', 0.28390527309992925)
('1027', 'df150ef9adb90a58bc08af6ee471a491df0e6e93', 0.28362355444550147)
('135', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.28191136931007)
('132', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.28157864457433895)
('124', '3c59441415c47a8671cd6916c2953637978e6b17', 0.27793932305441715)
('125', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.2751313406137133)
('125', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2719342780901217)
('132', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.2707212015568942)
('135', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2705358325308059)
('134', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.26805511991968756)
('125', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.2677788632355636)
('135', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.2676138671604186)
('134', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.26511988787375684)
('1221', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.2640168054800843)
('132', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.2636769271126185)
('134', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.26361256444480535)
('470', '7a1f09b3284880858894486fc5f2506ff4b23f52', 0.2627964901056791)
('134', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.2607562392020307)
('132', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.26028224003116945)
('135', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.25867159412681473)
('135', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.25535770699250177)
('125', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.2550769316407842)
('125', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.2523970471634334)
('1440', 'd33238ce7b95aa4cb46e5c589ef57cb22288eed6', 0.2519943688154946)
('1440', '92fd2a7fad7c31206957884c910dfe47c0f5f020', 0.2519943688154946)
('1439', 'd33238ce7b95aa4cb46e5c589ef57cb22288eed6', 0.2519943688154946)
