('781', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.42870365170079344)
('152', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.42406987105260713)
('146', 'f6d48d4b844a088cad18ec2942549d4fbf4c5b7a', 0.4124291842195749)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.40897487860825815)
('782', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.4069031100683629)
('557', 'cd4d08ccce7fed4a7998561b7e926d74ef860ce5', 0.40360533014806516)
('557', '001a969038121dd65ce376d17fe3c63c0c038171', 0.39728082798441244)
('766', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.38243446083605115)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.3823378716231473)
('544', 'ea01c329a47979ba305c57642562eb5f0d993a15', 0.37233778793495825)
('850', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.3630919520724263)
('806', 'f21914fff7f7f7023c81ffc36e0612d1b6dbdd1e', 0.3465246886481664)
('643', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.3404093288550223)
('510', '6bad467bba438c025bca17a74fe9e9ec6fcdac94', 0.3332325919165298)
('557', 'a797c46f7685b0d6a6426f8e0b284400d7ca153b', 0.329765295995315)
('463', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.3260251280301313)
('766', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.3172809443207406)
('544', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.3162294475844014)
('727', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.3090853839727557)
('669', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.30581110269308237)
('783', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.2963084365663299)
('166', 'bea7ba92f374caefa4c65136488aac6bc50a4142', 0.2957683820860968)
('603', 'b6367c83304e409a23edc64967585f4f03c4d89b', 0.29546322613121745)
('783', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.29501092204668966)
('544', 'f0a42d31bdb8789dbf318874060e11e0f43cf5c7', 0.29442194677732314)
('644', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.2941314505144557)
('441', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.29296463792985983)
('489', '74ebaa6aac06585fc8865f2cf624fde04fd9231f', 0.2872899593800179)
('262', 'f54046168723638d7887d0a79153782e1a0717a6', 0.2690606514762143)
('346', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.2671065289924749)
('703', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.2664396025831235)
('809', 'f21914fff7f7f7023c81ffc36e0612d1b6dbdd1e', 0.2662866284395445)
('835', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.26327719750456124)
('557', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.2612635849628271)
('495', '74ebaa6aac06585fc8865f2cf624fde04fd9231f', 0.2594203253902969)
('835', 'cd17f62c886cd76a35f38138c31890df80698168', 0.25218889318681276)
('158', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.24205726386588342)
('544', 'a797c46f7685b0d6a6426f8e0b284400d7ca153b', 0.24159725532693838)
('578', 'aaa2484bd2c37e6407c32015e393f3f69416172a', 0.24127484558094506)
('209', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.23370007628963055)
('606', '1ad1765c95b88a72d4a5df539d6255757c6c7b54', 0.23132622102344294)
('809', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.22195758223038226)
('180', '527fb6f11bd7bc535682ef96087fd3c8ee95b966', 0.21349308680315235)
('717', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.20489343644903196)
('697', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.20418360096967067)
('838', 'cd17f62c886cd76a35f38138c31890df80698168', 0.18605965270293748)
('643', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.1836737890940508)
('260', '29b0c30b4e6d3784527a3eab1406e06c8d372e3c', 0.177153320369898)
('163', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.16942777422061622)
('730', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.1677998251521375)
('688', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.16582193896167924)
('564', 'd9bb27b112778e2cfefa234a529ef0bfec055501', 0.16380554093428717)
('697', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.15838958372593978)
('536', '6487bc9efac993503c0e8e291e622eeb77195664', 0.155656478972439)
('152', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.1510206271285903)
('259', '29b0c30b4e6d3784527a3eab1406e06c8d372e3c', 0.15085455748698212)
('607', 'a71e23a635292629f9d87e35f50fd21889dd450e', 0.14393537527569816)
('730', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.141382527539665)
('727', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.1412193406992867)
('747', 'ba302cd81b1328df91ea526f5c002e066bea1df3', 0.13832199813746895)
('431', '7036fa85a9baf1976f7709114a28d98507c2a519', 0.1358639851391229)
