('753', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.9191169001520825)
('753', '001a969038121dd65ce376d17fe3c63c0c038171', 0.9188471485268935)
('614', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.9188322021320531)
('753', 'cd4d08ccce7fed4a7998561b7e926d74ef860ce5', 0.9188010227028848)
('753', '1ad1765c95b88a72d4a5df539d6255757c6c7b54', 0.9175938475203176)
('753', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.9172473617448402)
('123', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.9159088745484971)
('450', 'a08919701c38822587529e443e7b7418d3bc0ecc', 0.9152218142402063)
('450', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.9131603733631645)
('441', '14a6d9005476cc638116f0ef369bbda15459ff9e', 0.9115337686957811)
('658', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.9098681011433094)
('658', 'f54046168723638d7887d0a79153782e1a0717a6', 0.9097391000684936)
('544', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.9094812454525758)
('544', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.907769041005563)
('632', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.9039657491254078)
('219', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.8999211432948343)
('123', '89015048b496fe08588b89f97e5fea6802100767', 0.8996141293021013)
('544', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.8995905681896084)
('753', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.8970072107248264)
('158', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.8943033618882003)
('441', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.8937867163284001)
('333', '018c8de5b275732598f7709693787fdd313392e0', 0.8926696691788588)
('333', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.8926696691788532)
('25', 'b4b8e06909f76b8d29438375c59ddbcac640db01', 0.8926130156610833)
('246', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.8925624673785828)
('158', '0ade5f75dcb6d07a242ab3468bc79bb413b9f677', 0.8904144603614554)
('333', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.8884985333039168)
('333', '5ee93b1c77848c2e35411ea8d363294b665f4962', 0.8881942178499835)
('180', '072c177008dc74ddcfab55f7a6d441a5b7d5aa5a', 0.8852637097411001)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.8841078517515583)
('224', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.8840043400828079)
('333', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.883316819952719)
('224', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.8799750973252095)
('333', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.8795994875918095)
('224', '5ee93b1c77848c2e35411ea8d363294b665f4962', 0.8794658382335524)
('753', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.8768421482404085)
('781', 'f54046168723638d7887d0a79153782e1a0717a6', 0.8756679984502259)
('673', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.8752524983660209)
('781', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.875129922268078)
('224', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.8746201912378163)
('224', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.8711672298154588)
('123', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.8703053409721947)
('291', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.8693547668228597)
('501', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.8684567153083509)
('27', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.8645550091514539)
('544', 'a71e23a635292629f9d87e35f50fd21889dd450e', 0.8640381170780751)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.857786452596815)
('665', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.8506960292956183)
('623', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.8502116959657604)
('246', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.8500506882504959)
('623', '33e201df962a15263cae4dc7aa58841bda4a1abd', 0.8486403405117768)
('623', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.8484643698205222)
('224', 'b4b8e06909f76b8d29438375c59ddbcac640db01', 0.8450085628582297)
('180', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.8425080832881346)
('333', 'b4b8e06909f76b8d29438375c59ddbcac640db01', 0.8420770923959976)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.8417035936766809)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.8415683588350146)
('219', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.8393937719487476)
('25', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.8387069282998836)
('554', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.8376422628294724)
('623', 'd23ac3731959ae84adb2333733abaef4f23a0312', 0.8374419780477751)
('180', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.8337030403429376)
('727', 'ba302cd81b1328df91ea526f5c002e066bea1df3', 0.8334203811300694)
('180', 'f35223312b74743886436770f5172cb25e4e0974', 0.8331971262125057)
