('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('285', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('285', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('285', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('285', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('285', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('285', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('285', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('285', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('285', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('285', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('285', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('285', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('285', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('285', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('285', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('285', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('285', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('285', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('285', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('285', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('285', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('285', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('285', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('285', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('285', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('285', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('285', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('285', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('285', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('285', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('285', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('258', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('258', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('258', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('258', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('258', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('258', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('258', '163db1bff3177505d4d588012644783685814cca', 0.0)
('258', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('258', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('258', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('258', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('258', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('258', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('258', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('258', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('258', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('258', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('258', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('258', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('258', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('258', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('258', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('258', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('258', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('258', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('258', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('258', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('258', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('258', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('258', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('258', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('258', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('258', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('258', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('258', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('258', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('258', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('258', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('258', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('258', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('258', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('258', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('258', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('258', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('254', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('254', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('254', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('254', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('254', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('254', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('254', '163db1bff3177505d4d588012644783685814cca', 0.0)
('254', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('254', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('254', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('254', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('254', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('254', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('254', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('254', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('254', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('254', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('254', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('254', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('254', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('254', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('254', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('254', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('254', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('254', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('254', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('254', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('254', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('254', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('254', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('254', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('254', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('254', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('254', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('254', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('254', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('254', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('254', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('254', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('254', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('254', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('254', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('254', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('217', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('217', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('217', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('217', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('217', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('217', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('217', '163db1bff3177505d4d588012644783685814cca', 0.0)
('217', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('217', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('217', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('217', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('217', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('217', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('217', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('217', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('217', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('217', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('217', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('217', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('217', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('217', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('217', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('217', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('217', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('217', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('217', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('217', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('217', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('217', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('217', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('217', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('217', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('217', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('217', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('217', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('217', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('217', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('217', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('217', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('217', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('217', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('217', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('215', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('215', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('215', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('215', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('215', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('215', '163db1bff3177505d4d588012644783685814cca', 0.0)
('215', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('215', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('215', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('215', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('215', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('215', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('215', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('215', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('215', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('215', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('215', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('215', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('215', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('215', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('215', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('215', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('215', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('215', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('215', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('215', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('215', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('215', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('215', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('215', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('215', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('215', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('215', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('215', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('215', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('215', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('215', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('215', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('215', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('215', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('215', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('215', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('215', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('198', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('198', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('198', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('198', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('198', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('198', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('198', '163db1bff3177505d4d588012644783685814cca', 0.0)
('198', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('198', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('198', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('198', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('198', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('198', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('198', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('198', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('198', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('198', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('198', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('198', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('198', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('198', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('198', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('198', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('198', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('198', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('198', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('198', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('198', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('198', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('198', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('198', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('198', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('198', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('198', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('198', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('198', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('198', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('198', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('198', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('198', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('198', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('198', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('198', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('198', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('184', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('184', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('184', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('184', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('184', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('184', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('184', '163db1bff3177505d4d588012644783685814cca', 0.0)
('184', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('184', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('184', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('184', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('184', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('184', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('184', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('184', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('184', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('184', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('184', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('184', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('184', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('184', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('184', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('184', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('184', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('184', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('184', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('184', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('184', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('184', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('184', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('184', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('184', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('184', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('184', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('184', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('184', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('184', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('184', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('184', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('184', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('184', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('184', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('184', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('184', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('160', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('160', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('160', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('160', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('160', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('160', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('160', '163db1bff3177505d4d588012644783685814cca', 0.0)
('160', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('160', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('160', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('160', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('160', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('160', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('160', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('160', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('160', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('160', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('160', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('160', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('160', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('160', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('160', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('160', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('160', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('160', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('160', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('160', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('160', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('160', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('160', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('160', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('160', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('160', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('160', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('160', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('160', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('160', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('160', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('160', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('160', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('160', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('160', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('141', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('141', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('141', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('141', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('141', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('141', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('141', '163db1bff3177505d4d588012644783685814cca', 0.0)
('141', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('141', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('141', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('141', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('141', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('141', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('141', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('141', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('141', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('141', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('141', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('141', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('141', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('141', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('141', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('141', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('141', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('141', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('141', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('141', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('141', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('141', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('141', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('141', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('141', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('141', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('141', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('141', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('141', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('141', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('141', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('141', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('141', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
