('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('62', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.034016347174640651)
('254', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.030580013677638487)
('8', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.029301517610352022)
('27', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.028397827311556354)
('217', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.027519071156341869)
('116', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.026400296986043598)
('285', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.026088982823869754)
('27', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.019517427527295121)
('294', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.019462075501712656)
('160', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.018935311319976771)
('429', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.018814956958395503)
('401', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.018779058231545971)
('449', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.01854518559156168)
('53', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.017306351291044103)
('116', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.015782180526368011)
('8', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.015539623791980445)
('481', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.014475115882633201)
('117', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.013304277573148948)
('399', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.011173800202524302)
('17', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.011162898220367529)
('429', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.010750602601363466)
('401', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.010744372561540467)
('481', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.010735265757114943)
('40', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.010364145696152328)
('329', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0098213126661314196)
('116', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0048177948718928975)
('399', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0031142179287751912)
('27', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0030795250994395521)
('481', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0030664687671813034)
('401', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0018124763650396662)
('62', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0010761982579965777)
('116', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.00093738258713237858)
('481', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.00059667776935535383)
('116', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.00053635005222832139)
('481', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.00033289801527806211)
('481', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('481', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('481', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('481', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('481', '163db1bff3177505d4d588012644783685814cca', 0.0)
('481', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('481', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('481', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('481', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('481', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('481', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('481', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('481', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('481', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('481', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('481', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('481', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('481', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('481', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('481', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('481', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('481', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('481', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('481', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('481', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('481', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('481', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('481', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('481', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('481', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('481', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('481', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('481', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('481', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('459', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('459', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('459', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('459', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('459', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('459', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('459', '163db1bff3177505d4d588012644783685814cca', 0.0)
('459', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('459', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('459', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('459', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('459', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('459', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('459', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('459', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('459', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('459', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('459', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('459', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('459', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('459', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('459', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('459', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('459', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('459', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('459', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('459', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('459', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('459', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('459', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('459', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
