('155', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.1892452495282298)
('196', 'd9ed410da63b9663d1ecc5da2bd451dcc879e1d6', 0.18694818035788949)
('15', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.1868935306568236)
('130', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.18382240622341672)
('51', '4c087ed0b9c4c123314106a6d3e16cc9da548e69', 0.18307845276745333)
('173', '388854b81cdf58a11b509ba41954fbb2a75f1090', 0.18121883722434479)
('278', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.18074625383229476)
('51', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.17975461256207137)
('42', '504ee08eda382bf2a79a94dee787badc3c02a588', 0.1777344163206061)
('272', 'cf49acb5c13b897babd84730969ad9661253cc52', 0.17749344557955754)
('383', '67697ce6dca1474646eeaafd0198e8c45e0b6326', 0.17660457788534456)
('28', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.17446364769872472)
('173', '58394dc8049a2ca55460b16fde1d287874875600', 0.17306650154355982)
('240', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.17020701792763315)
('1', 'aee4cde690a34e9e20a6df6749fb77853f1e46fe', 0.16975807550857347)
('180', '2ea00a33947084844f74eab5b1c515009347a8ca', 0.16681814111719884)
('196', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.16672220893367237)
('60', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.16670636443304215)
('130', 'cf49acb5c13b897babd84730969ad9661253cc52', 0.16451725064289247)
('92', 'bb945824bc8ca3997247d485a8ce223deeaa0c14', 0.16426391089000267)
('112', '58394dc8049a2ca55460b16fde1d287874875600', 0.1641031353016055)
('37', '08fd5157cebf147b40d39de75b33198a1e6f7132', 0.16367784047399531)
('173', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.16367528945497098)
('171', '86b26477d98923bbb525fe6a07a7da3be3081bc1', 0.16208518998329263)
('74', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.16052342268081479)
('173', 'a59405c51d7bea235574072e1e61c097768c1a7e', 0.15911367368338386)
('51', '55cff99e87728fa6a75bad0bd6bd61043f3795a6', 0.15811679279537016)
('128', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.15696591214381922)
('15', '95f501b1fa06751d87c35e9663b3b47c75c01b96', 0.15569550026108989)
