('54', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.5262337418115022)
('54', 'c348398d45788564a63221179fc6c60f5af23583', 0.5255038448954071)
('54', 'd3751a99af4faef49632b6c88874b96682faa630', 0.5254609348650542)
('54', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.5253693290817356)
('54', '30919083e84756b64c9520329369896987972855', 0.5252995910915592)
('54', '8074576b98adb5618832c8b5b209d95589acd32d', 0.525295925783416)
('54', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.5252819221306707)
('54', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.5252338142715232)
('54', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.5252290070839379)
('54', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.5235950627949476)
('54', '0667224647701d1b0562b3e872f43ef520a33599', 0.5147179174882704)
('304', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.5124094021073701)
('304', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.5001027432842018)
('177', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.4989397118715343)
('177', 'c348398d45788564a63221179fc6c60f5af23583', 0.4973292873614919)
('177', 'd3751a99af4faef49632b6c88874b96682faa630', 0.4973292873614768)
('177', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.497329287361006)
('177', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.49732928735996296)
('177', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.4973292872550789)
('177', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.497329286827724)
('177', '30919083e84756b64c9520329369896987972855', 0.4973292852121443)
('177', '8074576b98adb5618832c8b5b209d95589acd32d', 0.49732928411380856)
('177', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.4972433360858836)
('239', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.49616555572373905)
('177', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.49529939983442506)
('1', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.495256311729341)
('115', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.48562335993285916)
('115', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.47992698747969065)
('155', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.4701500749391738)
('177', '0667224647701d1b0562b3e872f43ef520a33599', 0.4653703787102019)
('54', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.4615772341557592)
('177', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.4521352249977161)
