('455', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.83142700452689255)
('187', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.82564900703592903)
('145', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.82498547269651556)
('1032', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.82226401066535348)
('539', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.81940586403555893)
('942', '1a11153cd28d23e9c9f8fc5c7cdaaf7175e34dad', 0.81913146317986762)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8113028385188511)
('122', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.80365627254303551)
('539', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.79884960490413637)
('734', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.79669312488337518)
('145', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.79532646629265835)
('539', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.79182135162493184)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.79107332141138065)
('709', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.78923338401859167)
('360', '5a34195201e695cb03be0de6b4333132a3fcd1ab', 0.78629912746219177)
('841', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.78510363105929049)
('841', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.78508967999737966)
('171', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.78122074205938663)
('128', '7d9e2dc69b63df1053c5ee89541291e4f9b114ef', 0.78014354542341469)
('841', '82f8a9fc980dd428eb45c8f66789564632723897', 0.77989332740917239)
('14', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.77664049624770792)
('415', '01ef15223cafa277ed7f0292ce97781abaf0b73d', 0.77539247678249335)
('284', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.77036787329487455)
('841', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.76918558514772395)
('455', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.76588468606300886)
('16', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.76570735443743221)
('1059', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.76528517981432387)
('788', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.76063548905751899)
('788', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.7602497837716492)
('788', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.76017967183145485)
('788', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.75866968509442223)
('788', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.75835767025528367)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.75764762842736366)
('788', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.75655657072418936)
('145', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7565387329045592)
('176', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.75500688083674972)
('135', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.75435845860371942)
('788', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.75404455475907328)
('138', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.75358802086642973)
('483', 'c3e38e50e269adafdd38a48c63a1740cde304c67', 0.75152024074120893)
('618', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.74387267574464)
('788', 'b19eaeb89a90b980e550e98b38e89efdd5ead222', 0.74309918259173158)
('1037', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.74180028854342472)
('782', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.73824171832664953)
('119', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.73648437803444811)
('136', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.73625023247486865)
('521', 'ea889cb0049fd2398ee98bf77d327c2536fc3239', 0.73476244837388194)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.73453414829346164)
('695', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.73021663410227255)
('145', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.72729499557049004)
('208', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.72568675864012333)
('782', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.72249624023341041)
('782', '129051a56e950c84f1cf9673a5e1b6cc3c45538c', 0.72249329763560699)
('782', 'd624358cb595891bd85d13d43f334978667502d3', 0.72234526051308368)
('788', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.71432628013921695)
('187', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.71137836287724421)
('782', '75f380252eb964156714585fb7a00b617ddec679', 0.71042655273424049)
