issue_id,commit_id,method,score
MNG-309,a02dd8e9d9aaffdb94bdd99bc03f97bd6e1acf79,default,1
MNG-309,d7e66db2538eea45c6bf7b505d111fb6963fe79f,default,1
MNG-316,06ebdedc0cc8998886e8f5ed00da9febe1f42b2a,default,1
MNG-326,85b30cf43da700b82e141c57bf959fa939bf9b10,default,1
MNG-328,6003f258b3036b7a8d064e41e217919b196c4597,default,1
MNG-366,5a0904e9fd0530c9ad08c82576950d96760aada5,default,1
MNG-366,9d31796e99f1c6693664c8de7c8af8c0c2a1b4e1,default,1
MNG-373,967fa8782064e580110e219024ce0a50e34f683f,default,1
MNG-374,e0b2aea99e0aa5421d17d1c656a915db53fb3096,default,1
MNG-397,c7d5e83520949f2577db6ad37e63c27cb10f4ae3,default,1
MNG-406,32303a7958a286bd79596a9c0ebf417245ded36e,default,1
MNG-410,a98961eeedc4cd03fc02694b9502939edbfe43b2,default,1
MNG-420,54d740b70b0e60b9730f802a4acd60792b6408bc,default,1
MNG-420,33ee96ceb9382a140557c0cd0b1dcaa14158d47f,default,1
MNG-424,4b1c539878f55039899397bebf888e84e1a00fa9,default,1
MNG-432,9863732555dfa3e0ac89042e53125e936a97392e,default,1
MNG-444,fddbcce34757188c6a49fd3cb2009e2cba56e8f0,default,1
MNG-446,3db9b6cd559cd92450e8b59ea084b2850127dc67,default,1
MNG-447,075932b36df523ad207400738c3769036c7f737c,default,1
MNG-449,f685d8605d2680e70b1ff2895947d2d11787e3c9,default,1
MNG-449,e6dcc36ed5116689bc5367f748a43b598db31d56,default,1
MNG-449,cb257db78ebf0ed7e1079606a11ebf7c80736c6f,default,1
MNG-467,748de75a58d926146da3cee92276d6085817624c,default,1
MNG-469,7299bd70581b809cb64bfa7e4ad651e5283e834c,default,1
MNG-469,1a63032af48a11ebb903b3937708860a9f288cda,default,1
MNG-469,60750dede2835565c84ada2da886dd11c18f4fda,default,1
MNG-473,b813c3d430a3aa5f2fa6cf7181ecf03faa6267dd,default,1
MNG-476,29439c710c076548aaeb2e09dc0b9eed574c960e,default,1
MNG-477,524a4602c40c881df4572497d38a259fe23e8587,default,1
MNG-478,e21120a0a4e6c146b4e7302a2240920517aaeb65,default,1
MNG-479,28813de005cd06ecf19a6267111e43aaec1952da,default,1
MNG-479,b42c7d3c66207631801e1a0fa065fe87b7151a2d,default,1
MNG-479,b82151f013285cd86872f84fee5e52d807b10e21,default,1
MNG-480,1a89a7b75122cb32d7cdc670eabb1457fbd8471a,default,1
MNG-482,2c80da6ba485dadb9aca2a8aa1a42988bcea5460,default,1
MNG-483,7d4f3428fdd060ae0607e87a42db7b3b9b875340,default,1
MNG-483,9a3085813d0faa04126a5848e8baeae14af7cce8,default,1
MNG-483,fe5a91b0d626193d59db343dd9d5e582d0ef289b,default,1
MNG-486,b76388e3c47bf41127f279bd9cc5ec5976cb4c68,default,1
MNG-487,385b7c96ae6576712a6c9a8b4486f4c8c58f2eed,default,1
MNG-488,9d6ba0d633196df936841bc30c6d697fcecba33f,default,1
MNG-489,81fe76fd27894e4c77e0694f830566df86364e39,default,1
MNG-490,c8ad95e05dfc2d6bae0bcd6f171ea4d87a2b2ab1,default,1
MNG-493,bea9eca2f62483ccc0d48d911fe37e824b1e4146,default,1
MNG-496,d7e421fd012bc08d26bf9ee1b9f16a328f8febda,default,1
MNG-500,e90ba206d3afd5569a644bd9f68ffa8943d15d44,default,1
MNG-508,6da771ab7003485866c689d3ab759f2d888ffae9,default,1
MNG-513,cb257db78ebf0ed7e1079606a11ebf7c80736c6f,default,1
MNG-515,c3665ae35906e9b3500f562e91798bdc431f21a6,default,1
MNG-520,ad7daa5d189a0a7b54336f9e367d7a4c0f6f676c,default,1
MNG-522,e4083dcdea2f468569f76943de2c2e1276784a70,default,1
MNG-527,6f81043b7bb808d0e2bbf036a7c9edc1ec44f2cd,default,1
MNG-530,ed7ccf707a1ff3b8569f4101d4b1615f54fa80a5,default,1
MNG-530,504e281d0ed2f163eb7a476b4701ea96f2095620,default,1
MNG-533,17e3c742ee62174c19e80c7b22a5f66ba0304d03,default,1
MNG-541,0713fa12ddd173d4029c3ebc4ce1b5f78095fa8b,default,1
MNG-541,b44ec86d40f180a27ab65c251ee70728f2d3eafe,default,1
MNG-546,82afba636b79a061af5f3805b442bbdae2c66103,default,1
MNG-560,f6cc2c6b9b9bf5ce40109767eb748b775273b61a,default,1
