commit_id,class_id,method,score
5304aecb463155a09959f5f2f84398086f8279e6,sourceCode/maven-project/src/main/java/org/apache/maven/project/injection/DefaultProfileInjector.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/DefaultMaven.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/cli/MavenCli.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/version/DefaultPluginVersionManager.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/usability/ArtifactNotFoundDiagnoser.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-core/src/main/java/org/apache/maven/usability/ProjectBuildDiagnoser.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-mboot2/src/main/java/download/ArtifactDownloader.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-mboot2/src/main/java/download/RepositoryMetadata.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-plugins/maven-projecthelp-plugin/src/main/java/org/apache/maven/plugins/projecthelp/DescribeMojo.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/InvalidModelException.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/InvalidProjectModelException.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/ProjectBuildingException.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/ProjectUtils.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/ActiveProjectArtifact.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java,default,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,sourceCode/maven-settings/src/main/java/org/apache/maven/settings/RuntimeInfo.java,default,1
2bbd09083f2a812cfa9148072718df7b38f86fe6,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java,default,1
1bdeecccadb9951fd48550a7aa3b9ee23ea111bc,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactCollector.java,default,1
1bdeecccadb9951fd48550a7aa3b9ee23ea111bc,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ResolutionNode.java,default,1
b874063d6571eb704ddabd7162c43cf78d092b35,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactCollector.java,default,1
d848ba2acdd2d1f74669f92d99688bb86c278af0,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/PluginConfigurationException.java,default,1
3ea056c92868ee2269fe3e34fb55502d335e1fdc,sourceCode/maven-core-it-support/1.3/src/main/java/org/apache/maven/it/Support.java,default,1
3ea056c92868ee2269fe3e34fb55502d335e1fdc,sourceCode/maven-core-it-support/1.4/src/main/java/org/apache/maven/it/Support.java,default,1
31f17512f5cb5a9974a0f79ffd81883ecfe3bf11,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactCollector.java,default,1
31f17512f5cb5a9974a0f79ffd81883ecfe3bf11,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ResolutionNode.java,default,1
31f17512f5cb5a9974a0f79ffd81883ecfe3bf11,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/filter/ScopeArtifactFilter.java,default,1
221ddfcd8bf4ef0f3299421da35cb4273edf53a1,sourceCode/maven-project/src/main/java/org/apache/maven/project/MavenProject.java,default,1
0df347f0e56141c1af74b63da07dc9e35fc1144e,sourceCode/maven-plugins/maven-javadoc-plugin/src/main/java/org/apache/maven/plugin/javadoc/JavadocReport.java,default,1
1be64231cfa24f6eea75dcc377f49f622f007849,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java,default,1
1be64231cfa24f6eea75dcc377f49f622f007849,sourceCode/maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectHelper.java,default,1
1be64231cfa24f6eea75dcc377f49f622f007849,sourceCode/maven-project/src/main/java/org/apache/maven/project/MavenProject.java,default,1
1be64231cfa24f6eea75dcc377f49f622f007849,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/AttachedArtifact.java,default,1
d8d5807faefc7e400d205e67afa1a51c153f329a,sourceCode/maven-core/src/main/java/org/apache/maven/cli/MavenCli.java,default,1
