issue_id1,issue_id2,method,score
MNG-4479,MNG-4580,default,1
MNG-5380,MNG-5336,default,1
MNG-2765,MNG-3862,default,1
MNG-2765,MNG-3013,default,1
MNG-2765,MNG-3862,default,1
MNG-2754,MNG-2276,default,1
MNG-2749,MNG-3281,default,1
MNG-3794,MNG-3477,default,1
MNG-2678,MNG-2201,default,1
MNG-2668,MNG-4074,default,1
MNG-2145,MNG-3719,default,1
MNG-2124,MNG-3355,default,1
MNG-2124,MNG-3530,default,1
MNG-2123,MNG-2861,default,1
MNG-2123,MNG-3396,default,1
MNG-6105,MNG-6053,default,1
MNG-5889,MNG-5767,default,1
MNG-5889,MNG-5771,default,1
MNG-3272,MNG-3607,default,1
MNG-3530,MNG-1927,default,1
MNG-3530,MNG-3355,default,1
MNG-3529,MNG-4767,default,1
MNG-2201,MNG-3807,default,1
MNG-2315,MNG-3832,default,1
MNG-5368,MNG-5680,default,1
MNG-3927,MNG-3947,default,1
MNG-3925,MNG-4975,default,1
MNG-3921,MNG-3265,default,1
MNG-3920,MNG-4666,default,1
MNG-3919,MNG-3918,default,1
MNG-3908,MNG-3914,default,1
MNG-3907,MNG-3224,default,1
MNG-3903,MNG-3932,default,1
MNG-2593,MNG-2255,default,1
MNG-2591,MNG-3836,default,1
MNG-309,MNG-252,default,1
MNG-309,MNG-311,default,1
MNG-309,MNG-312,default,1
MNG-309,MNG-323,default,1
MNG-309,MNG-329,default,1
MNG-309,MNG-332,default,1
MNG-309,MNG-334,default,1
MNG-303,MNG-4768,default,1
MNG-295,MNG-331,default,1
MNG-294,MNG-3914,default,1
MNG-277,MNG-122,default,1
MNG-4470,MNG-4528,default,1
MNG-4469,MNG-4571,default,1
MNG-4469,MNG-4574,default,1
MNG-836,MNG-2539,default,1
MNG-836,MNG-4191,default,1
MNG-3023,MNG-3043,default,1
MNG-3013,MNG-3284,default,1
MNG-3013,MNG-2836,default,1
MNG-1412,MNG-3473,default,1
MNG-1412,MNG-3805,default,1
MNG-1412,MNG-3813,default,1
MNG-1412,MNG-4026,default,1
MNG-1412,MNG-2258,default,1
MNG-1369,MNG-1582,default,1
MNG-1363,MNG-1173,default,1
MNG-4984,MNG-5158,default,1
MNG-4982,MNG-5056,default,1
MNG-3391,MNG-3483,default,1
MNG-5858,MNG-5889,default,1
MNG-3347,MNG-3323,default,1
MNG-5789,MNG-5780,default,1
MNG-5786,MNG-5767,default,1
MNG-5786,MNG-5858,default,1
MNG-5375,MNG-5344,default,1
MNG-5375,MNG-5397,default,1
MNG-2577,MNG-4625,default,1
MNG-2576,MNG-4244,default,1
