('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.8677681970228569)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.8613293098126635)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.8611589732956554)
('1717', 'ee439bed768d694fb20d4603d5bdaf054ba910b9', 0.8555779158143503)
('1448', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8546025744719349)
('1813', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.8543581143265123)
('2259', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.8530698518620031)
('471', '562cb82109bc929af4fe60e60aa43266f5d29936', 0.8525578934155164)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8520290722604685)
('2082', '51ba2f29c29019256579bf052f843bf409190f89', 0.8503062940270911)
('2500', '3c8097baeb95196393139518e21ca638b0489297', 0.8480248064716475)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8457396519788273)
('1377', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8303487916220814)
('949', '51ba2f29c29019256579bf052f843bf409190f89', 0.8270002260060801)
('1377', '51ba2f29c29019256579bf052f843bf409190f89', 0.8254691990371683)
('222', '9007375ca0683a64b0e44c8e517d63c885c46242', 0.8246105849459656)
('1695', '0f3a3d87c79fef2d702923d858c42e08d51b62c5', 0.8237805391650895)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.8202470026314048)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.8202395240813478)
('1695', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.8139468170682552)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8078683290581049)
('1377', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8062963625349666)
('1542', '863ba9a053091d45089a6535e12367421bf6950b', 0.8038356295297451)
('1985', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.7990750825091237)
('1542', '7d77e911b8d2d39a0e225a14b8dcc7bce533fc42', 0.7978381313765959)
('1542', 'bd49f5ad659d8b39d2bed5a3330dbc8103ce1cc8', 0.7969335832120819)
('2093', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7962205786898926)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.795518506848149)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.7932921793731074)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.7924273218946407)
('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.791571366058547)
('1695', '47ae7d32679994b5eb4b78ac3df9dc4eb8321abd', 0.789097559643977)
('2116', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.7875430479499808)
('1542', '290b7370c57b00b99c69a653a33a646f1f169a23', 0.78072834644882)
('1542', '9b99ab14ecb663c0cd6f3edad73e265638070b6e', 0.7791039590345618)
('2169', '729e203df97e1b228d75ce300d03ee82281d4569', 0.7790625078702471)
('2260', '729e203df97e1b228d75ce300d03ee82281d4569', 0.7732660163736007)
('1542', '7a241d7da588cb1b3263d1ab59ec85ea153275f3', 0.7719177516988933)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.7710295418379814)
('1841', '814cb1f024130c048331cec876cfc8d7ddaab99e', 0.7698651169928432)
('1598', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7685774405629348)
('222', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.7677466205767228)
('2131', 'c04139e70a360552baae8bbc5e1c741b5aae9010', 0.7676826945020557)
('1542', '0caef089404ea30e787557632d664fca27d902b0', 0.7652533045697423)
