('449', '1200571eca343d402f7fb1831b4c45acbca35438', 0.16454410781253279)
('449', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.1607351412207098)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.15808194762124467)
('352', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.15237275010310794)
('399', '1200571eca343d402f7fb1831b4c45acbca35438', 0.15220083337845652)
('449', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.14895129454210865)
('449', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.14726322304235956)
('401', 'a889be240af925d8131289539cfce9c63478c7f3', 0.14462581617032913)
('399', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.14417885383765439)
('235', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.1413381036812451)
('353', '25768640fa98733e021e59af93a75597e6b819b5', 0.1399849427580886)
('167', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.13777065142846817)
('399', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.13693392285134584)
('480', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.13653363923399847)
('334', '65794585337c77575d0805c92cd4f6ead12becd8', 0.13549241850253196)
('47', '1200571eca343d402f7fb1831b4c45acbca35438', 0.13209925233494887)
('353', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.12829461193269776)
('480', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.12279418507653687)
('114', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.12197711856138745)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.11956470806405542)
('399', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.11860139857795128)
('449', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.11676935436238717)
('376', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.11661253386035723)
('141', '25d28081c7c9f06b37702740a216a9181e730745', 0.11627349423165004)
('353', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.1144148494345354)
('480', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.11093336824498767)
('234', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.10899588337073622)
('167', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.10632619314288004)
('373', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.10531136032318937)
('449', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.10271266062407687)
('62', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.10029112409847425)
('329', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.10010389830192461)
('27', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.09859227534857803)
('353', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.09704596518700223)
('53', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0945766750861666)
('353', '31b156c3f747f752af791b65c4afa71692d320d5', 0.09431207137142598)
('449', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.09414291473785777)
('210', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.09401566524214316)
('62', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.09354796236615057)
('449', '163db1bff3177505d4d588012644783685814cca', 0.09290396372257954)
('449', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.09260762809458566)
('399', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.09229676171754685)
('399', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.09096045829885693)
('353', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.09044999711863663)
('165', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.09037531117221076)
('329', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.08987626161170052)
('399', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.08866303807989372)
('353', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.08717245776944912)
('449', 'f689275dab200faf2ec6caca615f9477b6337878', 0.08686023539348516)
('480', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.08622586574490089)
('353', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.08438513874876695)
('480', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.08374171034671488)
('480', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.08230579992393493)
('480', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.08083769008444028)
('47', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.07862363170014852)
('210', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.07825634402627722)
('449', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.07803950065676833)
('401', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.07370158631924956)
('329', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.07283823240494877)
('217', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.07236331659026823)
('353', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0712289665150259)
('399', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.07023333776756516)
('449', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.07003894844552923)
('449', '25d28081c7c9f06b37702740a216a9181e730745', 0.06991767881166848)
