('130', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.22038675591352921)
('37', 'b839be59dad3639befeb8f9932f048cc55397893', 0.22021418609693993)
('130', 'b839be59dad3639befeb8f9932f048cc55397893', 0.21111854645004044)
('352', '7b0e516a1142d763467824a3882480ac730d93fb', 0.2060130478144328)
('336', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.20562611898698618)
('130', '7b0e516a1142d763467824a3882480ac730d93fb', 0.1981215691129417)
('383', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.1932349681070314)
('383', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.192091928170925)
('383', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.1906799191895244)
('130', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.18957893010415094)
('352', 'c2c54743f070871d2eee9848b32b3ce0e2bbf995', 0.18875206066918354)
('240', 'e737ac5d71ac12d067bf1c23ca330f694e1c4202', 0.18856037604375836)
('336', '58394dc8049a2ca55460b16fde1d287874875600', 0.18728028616551284)
('383', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.18536671803280058)
('112', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.184716875776988)
('180', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.18445383251422506)
('130', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.18349492720611787)
('260', '7b0e516a1142d763467824a3882480ac730d93fb', 0.17668624167224184)
('155', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.17396116035977305)
('325', '8c4f1c75c3d56dd40f78e0a794e8923f5a328a64', 0.17233514824376842)
('155', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.17194905333050403)
('155', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.1719466452369829)
('173', 'e1e15e8f61a13dcf28ca1ddb1cedd83800a0cf21', 0.1708181366583717)
('112', 'e737ac5d71ac12d067bf1c23ca330f694e1c4202', 0.17078585000751637)
('37', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.16932486217850798)
('155', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.16690579318623247)
('383', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.15391263538559138)
('336', '316b6191d325ca9c321afbce5c6879345ec1ef80', 0.1498988521085338)
('130', 'd02565745748ff3918844a90e5300c65cd0d8669', 0.149361361816217)
('130', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.14842974637297598)
('196', '7b0e516a1142d763467824a3882480ac730d93fb', 0.14553932076018763)
('155', '7b0e516a1142d763467824a3882480ac730d93fb', 0.14541122593042333)
('272', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.13711366459011795)
('62', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.1362830647854972)
('51', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.13535134724437894)
('37', '7b0e516a1142d763467824a3882480ac730d93fb', 0.13511081712785916)
('130', 'c2c54743f070871d2eee9848b32b3ce0e2bbf995', 0.13486446174098207)
('352', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.13293731451670837)
('180', 'e1e15e8f61a13dcf28ca1ddb1cedd83800a0cf21', 0.13227839458103172)
('88', '11bbfbfc9ecf75d8c3f06a4fd9ccd2671cf1cfe3', 0.130717012365211)
('383', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.1291489169089232)
('222', '7b0e516a1142d763467824a3882480ac730d93fb', 0.1241847542086579)
('383', 'b839be59dad3639befeb8f9932f048cc55397893', 0.12339056900485865)
('325', 'e1e15e8f61a13dcf28ca1ddb1cedd83800a0cf21', 0.12013243172230698)
('155', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.1174799852133567)
('352', '8c4f1c75c3d56dd40f78e0a794e8923f5a328a64', 0.11612618548045978)
('260', '5ee56e9475bb4fd992dbf3cf365d79f768965be5', 0.11290817640897519)
('240', 'aee4cde690a34e9e20a6df6749fb77853f1e46fe', 0.1125026000971937)
('74', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.11174751208165164)
('155', 'b839be59dad3639befeb8f9932f048cc55397893', 0.11021742966695508)
('260', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.11016296700307569)
('260', '0bdf0bad70134be2c780284b936f59cd2ef69d57', 0.10930481201486437)
('173', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.10261715093749274)
('412', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.10232400490426762)
('352', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.0994396477268352)
('352', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.09919185840562239)
('352', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.09870171447416652)
('302', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.09859105454986566)
('380', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.09814423389506259)
('380', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.09814422191989632)
('260', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.09784683457679882)
('380', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.09748439180908613)
('352', '39b499793d2ca727381f3f2860298b6483956981', 0.09383124630704331)
('88', 'c2c54743f070871d2eee9848b32b3ce0e2bbf995', 0.0929492735770444)
('325', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.09188917563802514)
('130', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.08871628095087972)
('180', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.08820386045058072)
('352', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.08634774973827468)
('383', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.0858548417739638)
('380', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.08505978562061679)
('88', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.08431365043156609)
('173', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.082285488125026)
('352', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.08018961401123)
('352', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.08011661085124254)
('352', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.07907817151823958)
('37', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.07838020389790777)
('84', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.07774647044980261)
('155', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.0772123645897111)
('352', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.07646369138900361)
('62', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.07555317987583098)
('325', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.07410385480161735)
('180', '58394dc8049a2ca55460b16fde1d287874875600', 0.07355842638507311)
('88', '634d9598697911e1facf739fc62661c0a0b52906', 0.0735138902983588)
('356', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.07220408633846695)
('356', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.07220362911901745)
('356', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.072202019248567)
('336', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.07106304269137549)
('260', '316b6191d325ca9c321afbce5c6879345ec1ef80', 0.07035220018777327)
('356', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.06928912953054597)
('352', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.06862554455068087)
('356', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.06716341732354147)
('168', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.06651162026595155)
('352', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.06444652383381509)
('380', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.06367008475584601)
('352', '58394dc8049a2ca55460b16fde1d287874875600', 0.05999083883434081)
('325', '74ab4946b0d7b4288c88c02315b572ec51bb3283', 0.05931207930160786)
('325', '96f505e83b4bdf49e0e1236ef0e73d99fa7c91e5', 0.05930175414122732)
('227', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.0582547646887073)
('227', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.058254763296978276)
('227', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.05785939612140826)
('380', '58394dc8049a2ca55460b16fde1d287874875600', 0.057242161213943106)
('240', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.05663624140020829)
('412', '58394dc8049a2ca55460b16fde1d287874875600', 0.05602040864430308)
('196', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.054310521038204)
('356', '7b0e516a1142d763467824a3882480ac730d93fb', 0.0542158834123222)
('352', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.05390339046634675)
('272', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.05276339150425088)
('352', 'b839be59dad3639befeb8f9932f048cc55397893', 0.051806871427435015)
('227', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.05048766092763966)
('356', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.04879989348412489)
('180', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.04804929548868953)
('356', 'b839be59dad3639befeb8f9932f048cc55397893', 0.04675558657683697)
('383', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.04308696958128976)
('74', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.04162107799034951)
('130', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.039568940562958954)
('195', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.039009173751890766)
('195', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.03900916487031163)
('195', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.03874559484996293)
('352', '8f2a5436b11bd3cd864ae3ad54295aa0a56c764e', 0.03824503632409076)
('155', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.03821043050950602)
('227', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.037792137275572915)
('227', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03544060184754587)
('213', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03541053695579455)
('388', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03540364600221218)
('209', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.035394180330547934)
('195', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03537878991212569)
('386', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.035323313276593826)
('354', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.035246656771106735)
('331', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03524599485741852)
('302', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.03520283672875777)
('302', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.03515938345516428)
('380', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.035060351335870085)
('302', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.03499769321522657)
('74', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.03488266261676192)
('74', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03487603091119077)
('213', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03478139710520019)
('382', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03474673817452691)
('382', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03453348964211873)
('354', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03450230839337991)
('227', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03447139159449938)
('388', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03443598361580608)
('331', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03429125331984455)
('386', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03409729489201199)
('227', '58394dc8049a2ca55460b16fde1d287874875600', 0.033962031883483096)
('195', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.033808273673138614)
('209', '7b0e516a1142d763467824a3882480ac730d93fb', 0.033698798698955756)
('228', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03328305689833887)
('195', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03324312433951462)
('380', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03314013621000453)
('74', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03251557926845541)
('228', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.03240168080508674)
('272', '7b0e516a1142d763467824a3882480ac730d93fb', 0.03206408218750397)
('272', '00aeb9ae432e650b112be7ac5376f445fcbb82f3', 0.03177892464381008)
('272', '33565a89c63cb89b1d6c9998d56fe54dfc560157', 0.03162323854065182)
('74', 'fca9a6e9a146342e4d16b09ae8f9697282e566e9', 0.031131764174415065)
('302', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.03060028959328775)
('336', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.029510807990156807)
('412', '7b0e516a1142d763467824a3882480ac730d93fb', 0.029192926442538698)
('234', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.026325335271292907)
('195', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.025306883399137173)
('195', '58394dc8049a2ca55460b16fde1d287874875600', 0.024178127147403774)
('272', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.024138786637731835)
('74', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.02348490289445034)
('74', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.023484818288837226)
('74', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.023338336289587848)
('74', 'b839be59dad3639befeb8f9932f048cc55397893', 0.023239275333895106)
('302', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.02295274179537341)
('74', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.022394293275509156)
('302', '58394dc8049a2ca55460b16fde1d287874875600', 0.021695401501193163)
('180', 'fb3822190956e942b4593063275a64a82877a8d7', 0.02040272053635656)
('302', '8f2a5436b11bd3cd864ae3ad54295aa0a56c764e', 0.020400446198055533)
('173', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.019930716651476135)
('173', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.019930066635244607)
('173', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.019880318117673407)
('173', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.019109605771132375)
('376', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.01873661656358774)
('240', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.01791508973829397)
('388', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.017171287381882675)
('325', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.016743528964545104)
('336', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.015770303053321003)
('173', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.015334312921942839)
('302', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.014649616648420677)
('62', '045bd0e30cbb1db4731230a291aad5940af392e0', 0.01452446366717137)
('260', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.013989085960690012)
('37', '6d8ebeea239c129843305ee37928e93b102d588a', 0.013479079035234097)
('173', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.013455013110675373)
('112', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.013074126962720322)
('74', '03dcb8d6772cf39e8d4adbed455c464582d85d19', 0.01240488340120192)
('180', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.011853630058009244)
('325', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.011150687369105572)
('62', 'e1600e10b7bc4a93152f235f622b3c9c271ec18e', 0.009775081510066667)
('180', '045bd0e30cbb1db4731230a291aad5940af392e0', 0.009238298996069089)
('383', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.009096094061730581)
('336', '82dc3b1922ffd6165039d91aa225268b866cb58a', 0.00835128913160445)
('155', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.008150022103182497)
('302', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.007762487000702642)
('325', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.007539280407583749)
('37', 'fb3822190956e942b4593063275a64a82877a8d7', 0.006277398406062214)
('336', '045bd0e30cbb1db4731230a291aad5940af392e0', 0.005670780577161936)
('74', 'e1e15e8f61a13dcf28ca1ddb1cedd83800a0cf21', 0.005313587162688866)
('336', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.005222823056548249)
('37', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.005063428906404105)
('325', '58394dc8049a2ca55460b16fde1d287874875600', 0.004992492549112488)
('74', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.004162202818445167)
('383', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.004065821606445117)
('352', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.003802950421245531)
('155', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.0036984003754928075)
('356', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.003415278398952085)
('260', '045bd0e30cbb1db4731230a291aad5940af392e0', 0.002689763205250376)
('325', '634d9598697911e1facf739fc62661c0a0b52906', 0.0021456052121800124)
