('12', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.24663771172070814)
('304', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.2451939912060273)
('165', '1200571eca343d402f7fb1831b4c45acbca35438', 0.23895679372145812)
('217', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.2318285222208038)
('132', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.22468197508859022)
('399', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.22111961356231916)
('399', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.22111944765209385)
('27', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.22021003733287542)
('42', '0e16be23a4e3434ee32292a006a12accc1096955', 0.21473503905771185)
('1', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.20199845917888404)
('114', '163db1bff3177505d4d588012644783685814cca', 0.19794995249308137)
('235', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.19072627865172315)
('459', 'f689275dab200faf2ec6caca615f9477b6337878', 0.1900048311740572)
('235', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.18575596851465637)
('459', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.18566850144819425)
('352', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.182726471496017)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.18108513917801283)
('127', 'a889be240af925d8131289539cfce9c63478c7f3', 0.17949816200867963)
('114', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.17800070001192111)
('429', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.17458692350870136)
('401', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.1745070869492291)
('56', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.17367719950203284)
('235', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.1734451665487113)
('37', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.1721051695283069)
('459', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.1652865070172761)
('459', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.15826162034557428)
('459', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.1564699197435545)
('114', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.15140055257055304)
('429', '1200571eca343d402f7fb1831b4c45acbca35438', 0.14538544811966106)
('401', '1200571eca343d402f7fb1831b4c45acbca35438', 0.14535295660256278)
('56', '1200571eca343d402f7fb1831b4c45acbca35438', 0.14457184189073224)
('47', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.14398829596747528)
('61', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.14293516298544146)
('71', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.13605087788386103)
('42', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.13318140242758728)
('165', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.13305327736019834)
('235', '1200571eca343d402f7fb1831b4c45acbca35438', 0.12992910972274052)
('42', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.12918800167814984)
('3', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.12648514050707588)
('42', '1200571eca343d402f7fb1831b4c45acbca35438', 0.11097056084803428)
('127', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.108046071914342)
('308', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.10458977262751053)
('184', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.10455748091272878)
('481', '0e16be23a4e3434ee32292a006a12accc1096955', 0.09226371432870888)
('352', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.08834813369806493)
('401', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.08547654142033738)
('56', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.08535171664300707)
('429', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.08523346554013492)
('83', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.08423387137112487)
('12', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.08206023209057695)
('376', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.08159419247584278)
('27', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.08092447645194396)
('254', 'f689275dab200faf2ec6caca615f9477b6337878', 0.08079820833354144)
('376', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.08070955534873377)
('165', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.07954332911139421)
('83', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0729286094486235)
('235', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.07232267509918452)
('12', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.07084894687535515)
('165', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.06948005081751893)
('429', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.06894205133056312)
('401', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.06889009311408058)
('56', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.06849207737806395)
('42', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.06475337270072007)
('27', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.05742777040141207)
('329', '0e16be23a4e3434ee32292a006a12accc1096955', 0.05376024760031756)
('127', '0e16be23a4e3434ee32292a006a12accc1096955', 0.053096319098468084)
('42', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.05251925164505728)
('27', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.04976244444631217)
('481', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.04767235692866538)
('235', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.04312416997478226)
('295', '955b479383d02ea02740df49152710fef49afc44', 0.040619306991067666)
('295', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.040619306982119276)
('235', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.03776424430188642)
('449', '163db1bff3177505d4d588012644783685814cca', 0.036525696662172)
('49', 'f689275dab200faf2ec6caca615f9477b6337878', 0.03517825350043372)
('295', 'f689275dab200faf2ec6caca615f9477b6337878', 0.035146719497183225)
('3', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.03495837494653401)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.03429283486446127)
('401', '4f61bb0b62419f485adb942c398df18e2c276448', 0.033962668672687234)
('429', '4f61bb0b62419f485adb942c398df18e2c276448', 0.03395943043326832)
('56', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0337911974712605)
('480', 'f689275dab200faf2ec6caca615f9477b6337878', 0.033482214356958105)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.029550701444843966)
('481', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.029531453117271064)
('254', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.029271923227481032)
('40', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.027117123387639767)
('329', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.026578554646172887)
('42', '4f61bb0b62419f485adb942c398df18e2c276448', 0.025909258908244477)
('376', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.02540133019356536)
('215', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.02526685634527898)
('210', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.024157970124098076)
('27', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.02293306945840687)
('399', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.020143476417743524)
('40', '163db1bff3177505d4d588012644783685814cca', 0.019966964024293706)
('210', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.016334782636150954)
('127', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.01626193808542161)
('184', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.015800354332377652)
('308', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.015733808613510113)
('449', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.0154233140731892)
('117', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.015389135977629118)
('399', '163db1bff3177505d4d588012644783685814cca', 0.014818297324583072)
('449', '0e16be23a4e3434ee32292a006a12accc1096955', 0.012049167492507574)
('376', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.009072209379126096)
('449', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.006735169031415534)
('304', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0067292109037216585)
('481', '163db1bff3177505d4d588012644783685814cca', 0.0067106964711746864)
('481', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.005725752888274054)
('449', '1200571eca343d402f7fb1831b4c45acbca35438', 0.005607006583666574)
('304', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.00455494177179691)
('459', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.004351590694721189)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0033098254031453085)
('295', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0032719788880350878)
('459', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0028986535735221115)
