('523', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.14883310963579038)
('561', 'a797c46f7685b0d6a6426f8e0b284400d7ca153b', 0.1479836750016796)
('607', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.1430012393406657)
('544', 'ea01c329a47979ba305c57642562eb5f0d993a15', 0.13870198779217188)
('794', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.13759168889357468)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.13546490490077429)
('560', '244dfa6252961646a3b3efab52e8f8d85b8ab465', 0.1346526934039245)
('623', 'd23ac3731959ae84adb2333733abaef4f23a0312', 0.13215627174453523)
('673', '0ade5f75dcb6d07a242ab3468bc79bb413b9f677', 0.13198498941453862)
('783', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.1312850674143474)
('697', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.13007570045326575)
('669', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.1252445224054456)
('152', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.11745390561761088)
('188', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.11104345979966579)
('561', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.11028537088758761)
('781', '33e201df962a15263cae4dc7aa58841bda4a1abd', 0.10797478835611075)
('587', '001a969038121dd65ce376d17fe3c63c0c038171', 0.10742037624442954)
('733', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.10231172274956139)
('592', 'e59c46dd3683a893187a6a5a5d6de60a9cefbec3', 0.10120786345745228)
('236', 'c20c175b1c1da52a8b1f72b7fae380e22af266b8', 0.1001349161902327)
('797', '072c177008dc74ddcfab55f7a6d441a5b7d5aa5a', 0.09914384643355072)
('731', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.09825104900994028)
('414', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.09780772145080424)
('532', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.09478512437562664)
('441', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.08970114904128616)
('170', '08f7da201f696c98f68c52215dced2992302258a', 0.08886327374512476)
('560', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.08863644578592021)
('192', '039da3491a462fed46876dfe26135961642db286', 0.0869464561247357)
('192', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.08656010294463914)
('578', '04390d9b1819025c608de0a67d31919d11159a53', 0.08033146232940185)
('658', '1fd50e66ed3388fb44151983760bc146af993824', 0.07923135132508106)
('830', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.07910919511748693)
('663', 'd48defead77be39250373d03933525ba95899e6a', 0.07899473197122654)
('589', 'c473885ad87c5ab16d5c0a12b291c41e31944b80', 0.07837806370196393)
('804', 'c2f906ae6af9f03a7c173701e634f98422be7e0a', 0.07410082088564199)
('812', 'f21914fff7f7f7023c81ffc36e0612d1b6dbdd1e', 0.07340892200857302)
('530', '5ee93b1c77848c2e35411ea8d363294b665f4962', 0.07316378648803225)
('544', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.07294660014991308)
('188', 'c1356dcd9112bbd3183800cef6ac558480da8afd', 0.07247186942301262)
('807', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.07232991114288291)
