('365', '6780130321429a1c366d9dbd35c71e8a50582583', 0.8734927291650776)
('638', '09ee94377932662fdcde82f448ec7c8aa6baba23', 0.8694183442383339)
('121', '67a33cc782e983e4bdf4a1b9f8ec6dda7988ceaf', 0.8687528764179246)
('134', 'c515c43aa9d8213ed8bd34ac910ec519eb7d1b57', 0.8669017450494976)
('134', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.8665877848544021)
('134', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.8663895799947305)
('134', 'bf971041c747cbff9edbd4a45b8c5dd0f7e0fe9a', 0.865167529636618)
('134', '87a83d69bf929f794f732008543f5ce53e5de85c', 0.8641196994665822)
('713', '80f6019c25a1117855fe3f41b4c264fed4bab9eb', 0.8582267835308623)
('121', '7447257bbb9835e4727afa8afcf1d3e0bf1ec96e', 0.855190406516315)
('134', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.8522464282647553)
('134', 'b4d55ef967439601e75015128ea4cf73f44d38dd', 0.8478064842632721)
('134', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.8400567739120606)
('134', '9eba816b5a17e0b7bdd48b821f1a647a6d9ac57a', 0.83946197116266)
('583', '816f2c446fadb431fbd89e3cd260cad9bd8b4ca7', 0.8326939135346857)
('135', '3f6751f2ce256d9e3643d75948f740c24c873a8b', 0.8319832125896879)
('134', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.8316722693085697)
('134', '40ab048af08764a8df2745094856065045eb1cc4', 0.8292061652388735)
('132', '3f6751f2ce256d9e3643d75948f740c24c873a8b', 0.8271066126209938)
('125', '3f6751f2ce256d9e3643d75948f740c24c873a8b', 0.823058628742155)
('132', '32406217647c13ddb3fc37ef6d55c1cbe754533e', 0.8198671545398125)
('134', '9e082db95ca35eae1003166c622141d0f2a84921', 0.8195510381468353)
('121', 'd1e7c8078e564fdb2368862bd257eb5746dff076', 0.8152487545787197)
