('246', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 1.0)
('830', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717216793278372)
('684', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9716782517236588)
('532', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9716659286049784)
('215', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9716595290429756)
('769', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.97164233513829)
('183', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9716191905183931)
('731', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9715635650914003)
('290', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9715378869409025)
('225', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9715182565651291)
('189', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9715056535024197)
('530', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9715011588403762)
('256', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.971482898325301)
('261', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9714322932740952)
('25', 'c2f906ae6af9f03a7c173701e634f98422be7e0a', 0.9707783497078828)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.970600726381087)
('25', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.9697581505027277)
('330', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9693403033542524)
('47', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9689059651701782)
('561', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.967944206818675)
('236', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9677107446384725)
('559', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9659371654641601)
('315', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9658899522393578)
('25', 'c1356dcd9112bbd3183800cef6ac558480da8afd', 0.9655806690096083)
('564', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9650670222650255)
('688', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9646631480664294)
('812', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9640321353842156)
('794', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9637714571437779)
('25', 'fcf6a8fe4ea4f3604644aba9c63914a052c5315c', 0.96195375780805)
('336', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9592950329828325)
('730', 'f21914fff7f7f7023c81ffc36e0612d1b6dbdd1e', 0.9582713788629453)
('730', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.9582686190502476)
('489', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9560567187900721)
('677', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.955909985881667)
('260', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.954468981700347)
('697', '33e201df962a15263cae4dc7aa58841bda4a1abd', 0.954408248461347)
('415', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9483796252055969)
('27', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.9436365075561)
('683', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9424995404527756)
('757', '08fdbfc54380576996fd1079a7082ad81c2f2bba', 0.9411531891736875)
('435', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9370950593129508)
('697', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.936529522824523)
('25', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.9351748934863362)
('180', 'f35223312b74743886436770f5172cb25e4e0974', 0.9327376584256831)
('180', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.9327273751624562)
('591', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9323058377753825)
('180', '1fd50e66ed3388fb44151983760bc146af993824', 0.9318544219221543)
('180', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.9307726441592999)
('180', '244dfa6252961646a3b3efab52e8f8d85b8ab465', 0.9292745061310576)
('180', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.9277228849228061)
('27', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.9229390903498553)
('544', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.9201587854228822)
('25', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.9146654634596033)
