('75', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('75', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('75', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('75', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('75', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('75', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('75', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('75', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('75', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('75', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('75', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('75', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('75', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('75', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('75', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('75', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('75', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('75', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('75', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('75', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('75', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('75', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('73', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('73', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('73', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('73', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('73', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('73', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('73', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('73', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('73', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('73', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('73', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('73', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('73', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('73', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('73', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('73', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('73', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('73', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('73', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('73', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('73', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('73', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('73', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('73', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('73', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('73', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('68', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('68', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('68', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('68', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('68', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('68', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('68', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('68', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('68', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('68', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('68', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('68', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('68', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('68', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('68', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('68', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('68', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('68', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('68', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('68', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('68', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('68', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('68', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('68', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('68', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('68', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('68', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('65', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('65', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('65', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('65', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('65', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('65', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('65', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('65', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('65', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('65', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('65', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('65', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('65', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('65', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('65', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('65', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('65', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('65', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('65', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('65', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('65', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('65', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('65', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('65', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('65', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('65', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('63', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('63', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('63', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('63', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('63', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('63', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('63', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('63', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('63', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('63', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
