('9', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.004767597170310673)
('26', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.004296353103956002)
('9', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.004052399975762206)
('9', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.004023375592645111)
('9', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.003988011997772796)
('559', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.003908248452915633)
('559', '019f986cc374ef228070f4aeba252f5071362488', 0.0039027016093422513)
('9', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.0035363995497414476)
('9', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.0035363995497414476)
('598', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.003359688208670619)
('598', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.003359688208670619)
('9', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.003189942947702477)
('9', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0031260786455765254)
('3', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0030768824482576545)
('26', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.003052692800906569)
('9', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0026911782485460126)
('9', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.002624366413277958)
('598', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.002556433108294286)
('9', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0025385590477782537)
('598', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.002386261281215614)
('598', '12658fb9b9026355153802d80db988bdcce34b74', 0.0020726668253012322)
('598', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0020274965412972424)
('598', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0019947860760900975)
('598', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0019913354662460803)
('598', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0019848175411890374)
('598', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0019821851374534493)
('7', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0019159319883689052)
('598', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0019017450874535746)
('598', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0018891528819314533)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.001877282720988336)
('9', '15873145252823f57110c8ef0b8bf8964902a098', 0.0018769704335658728)
('4', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0017904569686020284)
('598', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0017190538328214757)
('26', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0017086319905360813)
('598', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0016830625027804062)
('598', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0016712110840937182)
('598', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0016279457108163207)
('598', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0016118894109347364)
('598', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0015745595755521505)
('598', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0015699717922509568)
('598', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0013933926616962798)
('598', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0012516231382743313)
('139', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0012164582743272878)
('26', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0011757493791056197)
('26', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.001127430128029735)
('598', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0009683939501728076)
('26', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0009032465101043015)
('26', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0008752155150735348)
('26', '12658fb9b9026355153802d80db988bdcce34b74', 0.0008627549542373736)
('26', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0008415123513264763)
('26', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0008284275763494172)
('26', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0008139200982042826)
('26', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0008016710164644476)
('26', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0007410085337911511)
('26', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0007255561233863839)
('26', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0007135758601245006)
('26', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.000638676203758982)
('598', '15873145252823f57110c8ef0b8bf8964902a098', 0.0006292041212248778)
('26', '15873145252823f57110c8ef0b8bf8964902a098', 0.00048214841925792455)
('254', '12658fb9b9026355153802d80db988bdcce34b74', 0.00047252435045895135)
('3', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.00020590166602859537)
('3', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.00020202867000301022)
('401', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0001412350550327473)
('3', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.00013440901688560527)
('3', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.00013440901688560527)
('401', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.000129287717148525)
('7', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.00010845296845647652)
('7', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.00010845296845647652)
('5', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.00010262670921603714)
('7', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 9.229972234650786e-05)
('7', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 9.056357098500801e-05)
('5', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 8.32866929438869e-05)
('5', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 8.172007603894642e-05)
('5', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 5.43681007257437e-05)
('5', 'f5197133e31c0d91964dc2bbc889674354de758b', 5.43681007257437e-05)
('4', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 2.86233784110182e-05)
('4', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 2.8084974652744103e-05)
('401', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 2.1018365437292322e-05)
('4', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 1.8684842266576487e-05)
('4', 'f5197133e31c0d91964dc2bbc889674354de758b', 1.8684842266576487e-05)
('598', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('598', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.0)
('598', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('598', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('598', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('559', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.0)
('559', '7daa15757ff7119e82506e6e980856859035a8ad', 0.0)
('559', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.0)
('559', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.0)
('559', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0)
('559', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.0)
('559', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.0)
('559', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0)
('559', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
('559', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0)
('559', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0)
('559', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0)
('559', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('559', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0)
('559', '12658fb9b9026355153802d80db988bdcce34b74', 0.0)
('559', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.0)
