('893', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.6310030912679481)
('756', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.6298387984023787)
('284', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.6168544704812611)
('1028', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.6143489330636477)
('727', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.6105941170470326)
('136', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.6026808402838751)
('762', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.6005854576064242)
('176', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.5940185949665163)
('136', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.5925971872475434)
('172', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.5924335106262697)
('507', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 0.5909087785448001)
('136', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.5885470313115579)
('1059', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.5859510656560271)
('213', '4898829384d048433c9a54f35d328f4a456318be', 0.5833759585154569)
('274', 'a6604978ed173c79cfad0f6fb1054d642159bb5f', 0.5806596727004955)
('1019', 'c75c24808664ede8faadabd082b7a191f3c232fd', 0.5728055278342592)
('1046', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.568034805959222)
('172', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.5674267353137671)
('136', 'c86fba6092979c4d42734903829843c3d62342ae', 0.5652131351557539)
('619', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.5562510298420676)
('622', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.5559569917354786)
('695', '4f4b016da3b0b4c25f84897be47fb3e502c1c98b', 0.5528044405485246)
('136', '38f2f98da3eb53592c0731297cc19ef858353372', 0.5505709726641368)
('850', 'c75c24808664ede8faadabd082b7a191f3c232fd', 0.5467831013045679)
('284', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.5426711658937606)
('440', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.5417415334667224)
('844', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.5385278423774466)
('828', 'fb1126cf390c3f062ec6ccabbae9900003cd3aa9', 0.5366036980099975)
('850', '75f380252eb964156714585fb7a00b617ddec679', 0.534242785309247)
('850', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.5339262909205921)
('814', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.5294368899448705)
('162', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.5281011182052481)
('727', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.5265232925114969)
('756', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.5261799677022118)
('138', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.5230491241565683)
('626', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.5194592004447204)
('850', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.5125064657501812)
('176', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.5073156193353459)
('919', 'a332f23b118df9fae99b538ca57410a404218f26', 0.5068851059628227)
('1047', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.5060289258098577)
('139', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.5058919372012958)
('202', '4898829384d048433c9a54f35d328f4a456318be', 0.501121612696585)
('619', '912a7a12becb51246ae9c55bf16ad4e19a647b85', 0.5000684106539796)
('173', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.4972580031294694)
('1057', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.4937523462789565)
('850', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.492913647708323)
('1076', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.4919940083274667)
('139', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.4887635894548)
('528', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.4859395251063272)
('1076', '1d9e2cceddf722728a8614b8204674fc176f41ee', 0.47651074108572494)
('771', '129051a56e950c84f1cf9673a5e1b6cc3c45538c', 0.4720890197587476)
('623', '912a7a12becb51246ae9c55bf16ad4e19a647b85', 0.4719631446692853)
('849', '20b0b39b14c94e65844b53064308902a127cac56', 0.4689779748996089)
('330', '402245dbbf59e57148e485fcc81500db6f6d6ae6', 0.4616130724263774)
('816', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.4613764094453223)
('136', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.4612415030242312)
('802', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.45921948056908873)
('771', 'd624358cb595891bd85d13d43f334978667502d3', 0.45643168925792915)
('440', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.45542196104182425)
('850', 'c3327e567ee3a34104e742f69fdb77d9d89440bc', 0.45202805081726716)
('756', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.4503950590453447)
('850', 'd20485027f8880177055e3269ee861ac54b77c06', 0.45030928815573074)
('449', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.44984140544776907)
('776', 'd624358cb595891bd85d13d43f334978667502d3', 0.448985379066238)
('776', '129051a56e950c84f1cf9673a5e1b6cc3c45538c', 0.4487149602271184)
('990', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.4469574198401486)
('1047', '7efd067bd52b8f3d01e6f17fb20b16a0d297b6bf', 0.446861184243365)
('231', 'bc7927fe758638afa0af7da3e37a4c6754ce5d85', 0.44459375606955626)
('802', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.4435387032263575)
('136', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.4433972634408431)
('623', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.4415416765242533)
('850', 'ff592758cfb0ae93a45df0a0e5baf1a15f747a3a', 0.4414141572459841)
('522', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.43956113868994984)
('802', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.43904312277513263)
('187', 'c3e38e50e269adafdd38a48c63a1740cde304c67', 0.4378446682357179)
('622', '912a7a12becb51246ae9c55bf16ad4e19a647b85', 0.43546451180124673)
('756', '3d5f13fec8b840f5d913103264db8f7f4c2c1f72', 0.4349524242652646)
('768', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.4273554537322009)
('1037', 'b5f5d3f0f0a92fe8b6fa4e0082ef4dc53c66344c', 0.42715778458292125)
('756', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.42651029878290386)
('136', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.4260316163223054)
('291', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.4220064631277277)
('539', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.4219399470997305)
('818', '7d9e2dc69b63df1053c5ee89541291e4f9b114ef', 0.42082513213504347)
('172', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.4191613576608962)
('850', '10114f4a9f648ca99c735793cdaee172f910d15c', 0.4163710628856819)
('187', '69170f58df0250e43066e4b56e038fced05f2268', 0.41542783451031984)
('126', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.413293282388249)
('536', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.41214643597345835)
('139', '38f2f98da3eb53592c0731297cc19ef858353372', 0.4119415790206089)
('850', 'a332f23b118df9fae99b538ca57410a404218f26', 0.4090083627898526)
('199', 'c86fba6092979c4d42734903829843c3d62342ae', 0.40199474400985513)
('291', 'a6604978ed173c79cfad0f6fb1054d642159bb5f', 0.4015410819632247)
('727', '3d5f13fec8b840f5d913103264db8f7f4c2c1f72', 0.39835294237054697)
('727', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.3975563004005988)
('455', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.3934594002750712)
('553', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.39160467161285717)
('487', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.3902508175466208)
('172', '69170f58df0250e43066e4b56e038fced05f2268', 0.38908353147050156)
('440', '5e206e4f7e7b62c1379f8f9b8945fd1eeb150fcf', 0.38763835461575813)
('536', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.3865767857916648)
('487', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.38481986641054994)
('626', '1f16310b7d694551f094bed49fb0576effefab3c', 0.37717192971175234)
('807', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.3764523236292389)
('727', 'd3f52c6d3d683dd4865ae2ac83431982f3d2a5e9', 0.3755585436561648)
('176', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.37335755648942953)
('455', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.36541885210235914)
('771', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.3631042255941613)
('724', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.35665289402588646)
('726', '5582a38930814d30b147285a4074fe93c72849a0', 0.35650333838320425)
('727', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.35324349277110245)
('173', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.34662573712483785)
('440', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.3465980413741204)
('274', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.3464787604169917)
('1028', 'c75c24808664ede8faadabd082b7a191f3c232fd', 0.3447237225928151)
('1019', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.3436852972120451)
('727', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.3428156389895838)
('850', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.3413955991603047)
('782', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.34087326752840025)
('330', '67436b2bc4a8e23faabb1555c0d34a2f53e060dc', 0.3406086130278843)
('726', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.33974400440637226)
('818', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.33922163189016585)
('553', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.338745602612329)
('850', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.3374287633914812)
('850', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.33070778260706407)
('850', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.3305514938250755)
('319', '780b4f715bf5f790fc249830d054d68eb153890a', 0.32927060007239156)
('1069', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.32721178824792885)
('854', '35797ca6ff766e87f00da31b3dd848299b5d1fbe', 0.3265044780875469)
('727', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.32547964783208216)
('231', '83fee4ffbbc87903f05f297615fee87aac2eaf2a', 0.3252405777434566)
('734', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.32310202212932426)
('1069', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.3219330306867484)
('1047', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.3202441699951165)
('171', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.31882801222177837)
('497', '31ed4efe3af5c4b1f8e0cb42ba9a68c21ec4d0e3', 0.3159391192529156)
('497', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.31537535246657933)
('440', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.3099054971526432)
('172', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.30881980402627)
('850', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.307753126869654)
('623', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.3070052098548565)
('756', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.3066634072341681)
('136', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.3049505597133442)
('126', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.3034627704331967)
('727', '77c1c65b83a13ee416009d028e18555ea4b4a032', 0.3033389670846136)
('319', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.301339830204916)
('1019', '2202ec451af6f594399e6b0a3927a658e6391232', 0.3013264565624329)
('618', '57c2cc4c4e81a4014feda7d4a33b7d771d1049e6', 0.30104726735612625)
('841', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.2965265061229391)
('521', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.2926669375100007)
('1069', '7efd067bd52b8f3d01e6f17fb20b16a0d297b6bf', 0.2918759045267809)
('319', 'ecdd619da78831929d53c27c90f15e193a500998', 0.28916795836488973)
