('709', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.9419083254010867)
('849', 'b5f5d3f0f0a92fe8b6fa4e0082ef4dc53c66344c', 0.9414596524807821)
('623', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9412151584504828)
('11', '82f8a9fc980dd428eb45c8f66789564632723897', 0.9402896587734713)
('1081', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.939659175110103)
('751', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.9382481094746035)
('282', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.936809741842318)
('734', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.935828196433989)
('334', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.9355161788548886)
('709', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.9352034813632861)
('953', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9345464447053967)
('343', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9342180007891318)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.9318564406594152)
('291', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.9256568680387688)
('360', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.9249925596508891)
('709', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.9247175694481738)
('139', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.9242809308610633)
('709', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.9238102249709521)
('231', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.9230716088868012)
('5', '69170f58df0250e43066e4b56e038fced05f2268', 0.9223868577412219)
('771', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.9198132080374382)
('1081', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.9187847536580573)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.9179133634459016)
('202', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.9178958303491169)
('360', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.9165091730196718)
('139', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.9158924208882626)
('780', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9151478391296719)
('360', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.915145616672758)
('762', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9151224325290638)
('771', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.9149123672007654)
('894', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9139479156658374)
('782', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9134808208928434)
('622', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9132362940665331)
('1083', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.913108124509485)
('1083', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.9130295922820831)
('483', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.9120298407500534)
('360', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.9116548951289466)
('873', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9079955317853277)
('483', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.9073640008474194)
('990', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9071264798275044)
('1069', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.905930701147389)
('256', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.905581900851269)
('393', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.904356653803252)
('1083', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.9043399626015357)
('199', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9039452157234282)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9023198452986174)
('623', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.9008876335129339)
('284', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8992838528298138)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8988837519600978)
('709', 'b9c4884af137e92523b13c2799d1acca5f5d36a5', 0.8970096141877539)
('296', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.8963138733496235)
('483', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.8962840133154721)
('291', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8959784727431196)
('734', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8957380537264168)
('1083', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.8956617081120313)
('483', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.8954958628409732)
('958', '83689ee519790b85ee56a54d2e7fa350fef2db82', 0.895352330786428)
('953', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8945046069205911)
('343', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8941808496827351)
('849', '7d9e2dc69b63df1053c5ee89541291e4f9b114ef', 0.8936169050393071)
('282', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8926508695769552)
('331', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8925932409665891)
('334', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8918062595003914)
('483', '82f8a9fc980dd428eb45c8f66789564632723897', 0.8900184513442573)
('768', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8885785917239085)
('442', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.8875074165203468)
('844', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.8862414195022253)
('483', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.884379934353146)
('1083', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.8800336862478352)
('890', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8784997880439345)
