('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('30', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('30', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
