('1434', '8334a5562597d5d5934f7a18a67da614a61da621', 0.16424254468013516)
('171', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.16243001427975437)
('1368', '796984fc2188231b38783a13e27a393742ee3733', 0.1622583346407813)
('640', 'ad6d855e0dc8073c04da02b045bbe85069f008f3', 0.16185990382525994)
('1253', '405b5abf00dc70af64104dfeba1b9602afb5b207', 0.1610206466580661)
('713', '80f6019c25a1117855fe3f41b4c264fed4bab9eb', 0.16083703508628044)
('754', '1a8879ce37279612d3176b71307d2714c730a691', 0.16005700734020012)
('255', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.15998048529032283)
('132', '53471996c29e4574509cb367e758ad486c6e70f1', 0.15694132336277206)
('600', '91b3e4ee600c03a02b25245189cb3e0689384104', 0.15651146177343933)
('1143', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.1545126484696296)
('134', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.15339215060198552)
('135', '53471996c29e4574509cb367e758ad486c6e70f1', 0.15315708629481736)
('135', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.15113254324277967)
('134', '21ac26b6dc7fc6806be23c0cd3b55563e80f47eb', 0.1508880772824317)
('1405', '30394e79fc70990563ed9deca13474d6ed05ba02', 0.1504372568431923)
('125', '53471996c29e4574509cb367e758ad486c6e70f1', 0.14945170355942194)
('125', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.14747614098261766)
('134', '46e51e0d9fe563be3892b05ac8cef87807fcecf6', 0.1462578060169667)
('257', '87a83d69bf929f794f732008543f5ce53e5de85c', 0.14521254396506483)
('125', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.144649277188626)
('196', '7447257bbb9835e4727afa8afcf1d3e0bf1ec96e', 0.14445020842105027)
('666', '92415f88b9af6694956f63919e3bdd49fafa758b', 0.1439058604818882)
('134', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.14285566028826138)
('134', '53471996c29e4574509cb367e758ad486c6e70f1', 0.14196638725249985)
('356', '5015003855692b3d14929670ac83f2ddae08bd45', 0.14097112880029578)
('923', 'b397cacef031bd1040034ee10719552c589c19ab', 0.13998425969235864)
('600', 'deed00ede80eb8a9c95b8c84111e33cdd813ee48', 0.13902691989265314)
('674', 'ea0ea3fa6522f533c510dee9f79cd15f0124f630', 0.1389415386287166)
('677', '10c42d94b8c6bd515040375959701cf3e6c07bc4', 0.13795638628196327)
('134', '9eba816b5a17e0b7bdd48b821f1a647a6d9ac57a', 0.13756073499414193)
('600', '4beeccf9dfb116b0b1201e6db0dd806c24aff9b7', 0.13731100830606793)
('470', 'a217b1885650c30ae4b4bd9a9869155fc833cd29', 0.13639157632276283)
('362', '1f6bac2ab21ca44f1fec0d73008239165704c428', 0.13635005329038882)
