('2119', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.7723812978705515)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.7699318464507344)
('2310', '0604a3c71b790d804eda9956bae0851ed149620a', 0.7697347884121986)
('1426', 'f982f8579289acf5f01af14694d7a3b23a0e578a', 0.768727700737223)
('1705', 'ed57e419c484ef01726ebec93cebde538e45103f', 0.7684961920542133)
('769', '51ba2f29c29019256579bf052f843bf409190f89', 0.7669334433822077)
('2135', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.7662644091246198)
('769', 'fd872b99440b6484a16338400e56a470009325a8', 0.7662247566417244)
('2658', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.764282639627478)
('2135', '40ad7f9dc3b0d012991253c3d65f695c7de6c2d8', 0.7631352651782934)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.7629044251688675)
('1542', '4a273c6fe4a2e4b4e16f513c374da6fca9ac09ba', 0.7626471978132097)
('1598', '562cb82109bc929af4fe60e60aa43266f5d29936', 0.7591456641074595)
('2330', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.7588636312966702)
('2183', 'b27a88821b72b10df005b3073dc039a68a3d4c4d', 0.7586106700514549)
('1542', '552e090d11c2cbce1633a06f17ab8a01c7c4bd9b', 0.7554459751250951)
('2545', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.7550983015759418)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.7545866827154346)
('1758', 'fd3da2613d65b6c9140d165c9f281cb86f9cdb97', 0.7543539996322267)
('1174', '18ce4e0b39f08d64d9a24347102796998bb90820', 0.752445977704768)
('2183', 'd3266ca300a9585e84aedf93b5448e314cc2edc8', 0.7515263389598236)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7506401283316892)
('2183', '2a4b2e0a9bb60592a4a747e77ccc91fbc593d405', 0.7505275412946169)
('1780', '31aa93a5682b3f5db9c4f66568094623f0feea5c', 0.7493565501652707)
('769', '9d5c25e12ec36a8ae3fa4f2cccfd60fb337a7875', 0.7472443470532021)
('2135', 'f982f8579289acf5f01af14694d7a3b23a0e578a', 0.7440390703754779)
('2611', '729e203df97e1b228d75ce300d03ee82281d4569', 0.7427156048111854)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.7421805487256116)
('2545', '7b9f3d6fdd35e7d505f3170f62191cb73aec567e', 0.7416033117812497)
('2332', 'f046543d725d15ea0744286dad9b10440b43922f', 0.7405200498422501)
('1746', '9448638f5f9018ac7a006a2354578a4e607dba43', 0.7399160169710388)
('769', '7b9f3d6fdd35e7d505f3170f62191cb73aec567e', 0.7397223852597304)
('649', 'cf255418cf17d29bc2aea7246f0a1380181ffbc1', 0.738707736781564)
('2545', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.7362817815395394)
('2093', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.7360167267557707)
('2260', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7345374743528778)
('949', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7336585018995492)
('1526', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.7328777110784142)
('2183', '752546f2a0a8b49d379a36c226e3e7b205573976', 0.7326378406000073)
('2093', '95363d0085aa674c800a93aa828db81107ec69a0', 0.7322999976450246)
('1598', 'f716911c23cdeeaa49079d88fcfdc0dec135ee36', 0.732107047492536)
('1717', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.7319273164666791)
('471', 'e0a1b49e4b98a378a98936270f0cc308669f1b24', 0.7291493698755401)
('2183', 'e1442826796f36496285da907a7a0946d525377a', 0.7277898964655338)
('2545', 'fd872b99440b6484a16338400e56a470009325a8', 0.7268398807897264)
('1542', 'b84e7b946a45ec2e2b8f926e3a498df5eb69eea0', 0.7267861819874633)
('2422', '720a8579133251f9fe5e76aa3678affb195e2b9e', 0.726246137989774)
('2415', 'b674ac9ba68464cfd27d3a4879737f73ac99b442', 0.725407457597592)
('1542', 'abad78e4a3b8ecf939fa40fdbd437ebc538be25c', 0.7253749486506779)
('2332', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.7253632805437287)
('769', 'f9690afba0a58f4b624514660efdbfed6c5ba60b', 0.7251924534548252)
('2182', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7251707370489481)
('2611', '51ba2f29c29019256579bf052f843bf409190f89', 0.7248513938451081)
('1542', 'e3d11f03b7fdb67c46e51b4e40a968221deb6485', 0.7228563910078217)
('2407', '39b88a2357879a1f0a36a68e73da70fd3017c8f1', 0.7223578431271511)
('769', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.7214346706964446)
('1576', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.72099447019389)
('1377', 'd3feb9374069e6d930a38e5acf07018ff8ac7010', 0.7209210979811467)
('769', 'fc96c0c424be484b56b369a361603f87b5fd1cdf', 0.7204856513531327)
('2051', 'a95d2c2e1df48616d5844021cfc576b304b07f80', 0.7190150498071538)
('1420', '2a64573d5d326313e2cf77dc3e0c18d745cd115f', 0.7188586882170421)
('2211', '2b1339c633815ec8cbdbaac88244e56fab925d78', 0.7180926838112486)
('1815', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.7177756761602919)
('769', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7166926348749246)
