('481', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('481', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.0)
('481', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('481', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('481', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('481', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('481', '25768640fa98733e021e59af93a75597e6b819b5', 0.0)
('481', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('481', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('481', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('481', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('481', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('481', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('481', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('481', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('481', '1200571eca343d402f7fb1831b4c45acbca35438', 0.0)
('481', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('481', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.0)
('481', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('481', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('481', 'f689275dab200faf2ec6caca615f9477b6337878', 0.0)
('481', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('481', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('481', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('481', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('481', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('481', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('481', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.0)
('480', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('480', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('480', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('480', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('480', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('480', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('480', '163db1bff3177505d4d588012644783685814cca', 0.0)
('480', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('480', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('480', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.0)
('480', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.0)
('480', '0e16be23a4e3434ee32292a006a12accc1096955', 0.0)
('480', '65794585337c77575d0805c92cd4f6ead12becd8', 0.0)
('480', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('480', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.0)
('480', '955b479383d02ea02740df49152710fef49afc44', 0.0)
('480', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('480', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
