('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.9524059345574271)
('1037', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.9484668447578204)
('726', '5aed505429694130a76115b7a4219b1a36f53346', 0.9460972627375627)
('487', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.943777653010197)
('818', 'ecdd619da78831929d53c27c90f15e193a500998', 0.9426485970385665)
('536', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9420151307884715)
('1037', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9418761136640613)
('553', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9408301814044927)
('663', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.9406242833169763)
('130', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.9373360047665484)
('844', '20b0b39b14c94e65844b53064308902a127cac56', 0.9341762716263885)
('849', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.9341560812336832)
('726', '5a34195201e695cb03be0de6b4333132a3fcd1ab', 0.9326588561478132)
('726', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9326583719485736)
('487', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.9325028460711895)
('536', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.9306308184683422)
('726', '10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468', 0.9268043600472965)
('726', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.9257947781675384)
('663', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9253940648666201)
('210', '826a45c1052e846b1250813be74f0382f6a543e3', 0.924783588079594)
('854', 'd3f52c6d3d683dd4865ae2ac83431982f3d2a5e9', 0.924780145288988)
('854', '10114f4a9f648ca99c735793cdaee172f910d15c', 0.924767162692429)
('553', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.9243747658885476)
('259', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.9241466690281406)
('115', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.9226750828587077)
('726', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.922450870978019)
('130', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.922158292849364)
('13', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.921869874156946)
('854', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.9213512966454331)
('487', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.9204245982391632)
('115', 'b5f5d3f0f0a92fe8b6fa4e0082ef4dc53c66344c', 0.9199707171779903)
('487', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.9197810656326073)
('726', 'ca350a79bd800889226f129bb7765fbedde4cc5f', 0.9195930394560083)
('9', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9181462289985409)
('641', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.9144993920839795)
('854', '1d9e2cceddf722728a8614b8204674fc176f41ee', 0.9130350887862442)
('9', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.9121948578891033)
('5', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.9119766256603511)
('9', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.9095082332502336)
('487', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.9072051379280888)
('1037', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.9053587957008992)
('138', 'a332f23b118df9fae99b538ca57410a404218f26', 0.9045358739062737)
('138', 'c86fba6092979c4d42734903829843c3d62342ae', 0.903690466112325)
('521', '31ed4efe3af5c4b1f8e0cb42ba9a68c21ec4d0e3', 0.9034048276453323)
('521', 'e608e1d6012e2cf5bfecaaf068a730633dac8a70', 0.9034021846802844)
('521', '698573b14a26ecedbc55e1594d3be9890e7de6a4', 0.9034008643774186)
('487', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.9029113926309528)
('521', '83689ee519790b85ee56a54d2e7fa350fef2db82', 0.90101581617923)
('1037', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.9006881110123083)
('641', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.8996523726230446)
